date,variable,Western area rural,Tonkolili,Police traning School,Kenema,Western area,Bo EMC,Western area urban,34 Military Hospital,Port Loko,Bo,Pujehun,Kambia,Koinadugu,Kailahun,Moyamba,Bombali,Kono,National,Kenema (IFRC),Bonthe,Police training School
2014-08-18,cfr,0,0,,46.4,,,10,,3.6,8.3,0,0,0,42.6,50,14.3,0,39.8,,0,
2014-08-18,etc_new_admission,,,,0,,,,,,,,,,2,,,,,,,
2014-08-18,etc_currently_admitted,,,,33,,,,,,,,,,48,,,,,,,
2014-08-18,etc_cum_admission,,,,282,,,,,,,,,,357,,,,,,,
2014-08-18,etc_new_deaths,,,,1,,,,,,,,,,6,,,,,,,
2014-08-18,etc_cum_deaths,,,,173,,,,,,,,,,130,,,,,,,
2014-08-18,etc_new_discharges,,,,1,,,,,,,,,,0,,,,,,,
2014-08-18,etc_cum_discharges,,,,66,,,,,,,,,,154,,,,,,,
2014-08-18,cum_contacts,41,19,,1477,,,499,,571,322,71,12,0,1145,121,239,38,4581,,26,
2014-08-18,cum_completed_contacts,0,11,,957,,,132,,30,110,23,0,0,871,9,36,38,2243,,26,
2014-08-18,contacts_followed,41,8,,553,,,367,,571,212,48,12,0,374,121,203,0,2510,,0,
2014-08-18,new_contacts,5,0,,0,,,3,,78,56,0,0,0,0,29,3,0,174,,0,
2014-08-18,contacts_healthy,41,8,,508,,,367,,550,210,48,0,0,372,121,195,0,2420,,0,
2014-08-18,contacts_ill,0,0,,1,,,0,,10,1,0,0,0,4,0,0,0,16,,0,
2014-08-18,contacts_not_seen,0,0,,44,,,0,,11,1,0,0,0,2,0,8,0,66,,0,
2014-08-18,new_completed_contacts,0,0,,43,,,0,,23,0,0,0,0,37,0,5,0,108,,0,
2014-08-18,percent_seen,100%,100%,,92%,,,100%,,98%,99%,100%,NA,NA,100%,100%,96%,NA,97%,,NA,
2014-08-19,population,263619,434937,,653013,,,1040888,,557978,654142,335574,341690,335471,465048,278119,494139,325003,6348350,,168729,
2014-08-19,new_noncase,1,0,,6,,,2,,0,7,0,0,0,2,0,0,0,18,,0,
2014-08-19,new_suspected,0,0,,15,,,0,,0,0,1,0,0,0,0,0,0,16,,0,
2014-08-19,new_probable,0,0,,0,,,0,,3,0,0,0,0,0,0,0,0,3,,0,
2014-08-19,new_confirmed,0,0,,2,,,2,,0,2,0,0,0,3,0,0,0,9,,0,
2014-08-19,cum_noncase,12,10,,347,,,72,,13,70,2,1,17,214,13,15,16,802,,0,
2014-08-19,cum_suspected,0,0,,17,,,0,,0,0,1,0,0,14,0,1,33,66,,0,
2014-08-19,cum_probable,0,0,,0,,,1,,3,1,0,0,0,32,1,1,1,40,,0,
2014-08-19,cum_confirmed,5,2,,285,,,22,,31,26,3,1,0,409,8,10,1,804,,1,
2014-08-19,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-19,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-19,death_confirmed,0,1,,133,,,2,,1,2,0,0,0,176,4,1,0,320,,0,
2014-08-19,cfr,0,0,,46.7,,,9.1,,3.2,7.7,0,0,0,43,50,10,0,39.8,,0,
2014-08-19,etc_new_admission,,,,7,,,,,,,,,,2,,,,,,,
2014-08-19,etc_currently_admitted,,,,30,,,,,,,,,,59,,,,,,,
2014-08-19,etc_cum_admission,,,,289,,,,,,,,,,359,,,,,,,
2014-08-19,etc_new_deaths,,,,3,,,,,,,,,,3,,,,,,,
2014-08-19,etc_cum_deaths,,,,176,,,,,,,,,,133,,,,,,,
2014-08-19,etc_new_discharges,,,,2,,,,,,,,,,3,,,,,,,
2014-08-19,etc_cum_discharges,,,,68,,,,,,,,,,157,,,,,,,
2014-08-19,cum_contacts,41,19,,1498,,,499,,631,332,71,12,0,1156,121,242,38,4686,,26,
2014-08-19,cum_completed_contacts,0,11,,953,,,132,,47,120,56,0,0,885,9,36,38,2313,,26,
2014-08-19,contacts_followed,41,8,,511,,,367,,584,212,14,12,0,358,121,206,0,2434,,0,
2014-08-19,new_contacts,0,0,,21,,,0,,60,10,0,0,0,11,0,3,0,105,,0,
2014-08-19,contacts_healthy,41,8,,470,,,367,,562,208,14,0,0,358,121,198,0,2347,,0,
2014-08-19,contacts_ill,0,0,,0,,,0,,14,0,0,0,0,0,0,0,0,14,,0,
2014-08-19,contacts_not_seen,0,0,,41,,,0,,18,4,0,0,0,0,0,8,0,71,,0,
2014-08-19,new_completed_contacts,0,0,,0,,,0,,17,0,33,0,0,140,0,0,0,190,,0,
2014-08-19,percent_seen,100%,100,,92%,,,100%,,99%,98%,100%,NA,NA,100%,100%,96%,NA,97%,,NA,
2014-08-20,population,263619,434937,,653013,,,1040888,,557978,654142,335574,341690,335471,465048,278119,494139,325003,6348350,,168729,
2014-08-20,new_noncase,0,0,,0,,,1,,0,0,0,0,0,3,0,0,0,4,,0,
2014-08-20,new_suspected,0,0,,1,,,0,,0,0,0,0,0,0,0,0,0,1,,0,
2014-08-20,new_probable,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,0,
2014-08-20,new_confirmed,0,0,,2,,,0,,1,0,0,0,0,1,0,0,0,4,,0,
2014-08-20,cum_noncase,12,10,,358,,,73,,13,70,2,1,17,217,13,15,16,817,,0,
2014-08-20,cum_suspected,0,0,,4,,,0,,0,0,0,0,0,14,0,1,33,52,,0,
2014-08-20,cum_probable,0,0,,0,,,1,,0,1,0,0,0,32,1,1,1,37,,0,
2014-08-20,cum_confirmed,5,2,,290,,,22,,33,26,4,1,0,410,8,10,1,813,,1,
2014-08-20,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-20,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-20,death_confirmed,0,1,,135,,,2,,1,2,0,0,0,176,4,1,0,322,,0,
2014-08-20,cfr,0,0,,46.6,,,9.1,,3,7.7,0,0,0,42.9,50,10,0,39.6,,0,
2014-08-20,etc_new_admission,,,,2,,,,,,,,,,2,,,,,,,
2014-08-20,etc_currently_admitted,,,,30,,,,,,,,,,41,,,,,,,
2014-08-20,etc_cum_admission,,,,291,,,,,,,,,,361,,,,,,,
2014-08-20,etc_new_deaths,,,,0,,,,,,,,,,2,,,,,,,
2014-08-20,etc_cum_deaths,,,,176,,,,,,,,,,135,,,,,,,
2014-08-20,etc_new_discharges,,,,0,,,,,,,,,,2,,,,,,,
2014-08-20,etc_cum_discharges,,,,68,,,,,,,,,,159,,,,,,,
2014-08-20,cum_contacts,41,19,,1541,,,499,,636,348,71,12,0,1159,131,268,53,4804,,26,
2014-08-20,cum_completed_contacts,0,11,,996,,,132,,47,131,56,0,0,894,17,36,38,2384,,26,
2014-08-20,contacts_followed,41,8,,455,,,367,,590,217,14,12,0,358,114,232,15,2423,,0,
2014-08-20,new_contacts,0,0,,43,,,0,,5,16,0,0,0,4,11,26,15,120,,0,
2014-08-20,contacts_healthy,41,8,,413,,,367,,548,208,14,0,0,278,113,222,15,2227,,0,
2014-08-20,contacts_ill,0,0,,3,,,0,,2,4,0,0,0,0,1,1,0,11,,0,
2014-08-20,contacts_not_seen,0,0,,39,,,0,,40,4,0,0,0,80,0,9,0,172,,0,
2014-08-20,new_completed_contacts,0,0,,43,,,0,,0,11,0,0,0,5,8,0,0,67,,0,
2014-08-20,percent_seen,100%,100%,,94%,,,100%,,93%,98%,100%,NA,NA,78%,100%,96%,100%,92%,,NA,
2014-08-21,population,263619,434937,,653013,,,1040888,,557978,654142,335574,341690,335471,465048,278119,494139,325003,6348350,,168729,
2014-08-21,new_noncase,0,2,,0,,,2,,0,1,0,0,0,3,0,0,0,8,,0,
2014-08-21,new_suspected,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,0,
2014-08-21,new_probable,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,0,
2014-08-21,new_confirmed,1,6,,0,,,0,,0,1,0,0,0,1,0,0,0,9,,0,
2014-08-21,cum_noncase,12,12,,358,,,75,,13,71,2,1,17,220,13,15,16,825,,0,
2014-08-21,cum_suspected,0,0,,4,,,0,,0,0,0,0,0,14,0,1,33,52,,0,
2014-08-21,cum_probable,0,0,,0,,,1,,1,1,0,0,0,32,1,1,1,38,,0,
2014-08-21,cum_confirmed,6,8,,290,,,22,,33,27,4,1,0,411,8,11,1,823,,1,
2014-08-21,death_suspected,0,0,,1,,,1,,1,0,0,0,0,4,0,0,1,8,,0,
2014-08-21,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-21,death_confirmed,0,1,,138,,,2,,1,2,0,0,0,180,4,1,0,329,,0,
2014-08-21,cfr,0,0,,47.6,,,9.1,,3,7.4,0,0,0,43.8,50,9.1,0,40,,0,
2014-08-21,etc_new_admission,,,,3,,,,,,,,,,0,,,,,,,
2014-08-21,etc_currently_admitted,,,,28,,,,,,,,,,50,,,,,,,
2014-08-21,etc_cum_admission,,,,294,,,,,,,,,,361,,,,,,,
2014-08-21,etc_new_deaths,,,,4,,,,,,,,,,3,,,,,,,
2014-08-21,etc_cum_deaths,,,,180,,,,,,,,,,138,,,,,,,
2014-08-21,etc_new_discharges,,,,1,,,,,,,,,,8,,,,,,,
