Variable,Date,Location,Value
Total death/s in probable cases,09/23/2014,Grand Bassa,7.0
Total death/s in suspected cases,09/23/2014,Grand Bassa,6.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Bassa,30.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Bassa,
Newly reported contacts,09/23/2014,Grand Bassa,0.0
Total contacts listed,09/23/2014,Grand Bassa,251.0
Currently under follow-up,09/23/2014,Grand Bassa,148.0
Contacts seen,09/23/2014,Grand Bassa,148.0
Contacts who completed 21 day follow-up,09/23/2014,Grand Bassa,0.0
Contacts lost to follow-up,09/23/2014,Grand Bassa,0.0
New admissions,09/23/2014,Grand Bassa,0.0
Total no. currently in Treatment Units,09/23/2014,Grand Bassa,0.0
Total discharges,09/23/2014,Grand Bassa,0.0
Cumulative admission/isolation,09/23/2014,Grand Bassa,0.0
Newly Reported Cases in HCW,09/23/2014,Grand Bassa,0.0
Cumulative cases among HCW,09/23/2014,Grand Bassa,3.0
Newly Reported deaths in HCW,09/23/2014,Grand Bassa,0.0
Cumulative deaths among HCW,09/23/2014,Grand Bassa,1.0
New Case/s (Suspected),09/23/2014,Grand Bassa,0.0
New Case/s (Probable),09/23/2014,Grand Bassa,0.0
New case/s (confirmed),09/23/2014,Grand Bassa,1.0
Total suspected cases,09/23/2014,Grand Bassa,29.0
Total probable cases,09/23/2014,Grand Bassa,37.0
Total confirmed cases,09/23/2014,Grand Bassa,44.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Bassa,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Bassa,0.0
Specimens collected,09/23/2014,Grand Cape Mount,
Specimens pending for testing,09/23/2014,Grand Cape Mount,
Total specimens tested,09/23/2014,Grand Cape Mount,
Newly reported deaths,09/23/2014,Grand Cape Mount,0.0
Total death/s in confirmed cases,09/23/2014,Grand Cape Mount,6.0
Total death/s in probable cases,09/23/2014,Grand Cape Mount,3.0
Total death/s in suspected cases,09/23/2014,Grand Cape Mount,5.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Cape Mount,14.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Cape Mount,
Newly reported contacts,09/23/2014,Grand Cape Mount,0.0
Total contacts listed,09/23/2014,Grand Cape Mount,80.0
Currently under follow-up,09/23/2014,Grand Cape Mount,77.0
Contacts seen,09/23/2014,Grand Cape Mount,0.0
Contacts who completed 21 day follow-up,09/23/2014,Grand Cape Mount,0.0
Contacts lost to follow-up,09/23/2014,Grand Cape Mount,0.0
New admissions,09/23/2014,Grand Cape Mount,0.0
Total no. currently in Treatment Units,09/23/2014,Grand Cape Mount,0.0
Total discharges,09/23/2014,Grand Cape Mount,0.0
Cumulative admission/isolation,09/23/2014,Grand Cape Mount,0.0
Newly Reported Cases in HCW,09/23/2014,Grand Cape Mount,0.0
Cumulative cases among HCW,09/23/2014,Grand Cape Mount,3.0
Newly Reported deaths in HCW,09/23/2014,Grand Cape Mount,0.0
Cumulative deaths among HCW,09/23/2014,Grand Cape Mount,0.0
New Case/s (Suspected),09/23/2014,Grand Cape Mount,0.0
New Case/s (Probable),09/23/2014,Grand Cape Mount,0.0
New case/s (confirmed),09/23/2014,Grand Cape Mount,0.0
Total suspected cases,09/23/2014,Grand Cape Mount,6.0
Total probable cases,09/23/2014,Grand Cape Mount,5.0
Total confirmed cases,09/23/2014,Grand Cape Mount,6.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Cape Mount,1.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Cape Mount,0.0
Specimens collected,09/23/2014,Grand Gedeh,
Specimens pending for testing,09/23/2014,Grand Gedeh,
Total specimens tested,09/23/2014,Grand Gedeh,
Newly reported deaths,09/23/2014,Grand Gedeh,0.0
Total death/s in confirmed cases,09/23/2014,Grand Gedeh,0.0
Total death/s in probable cases,09/23/2014,Grand Gedeh,0.0
Total death/s in suspected cases,09/23/2014,Grand Gedeh,2.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Gedeh,2.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Gedeh,
Newly reported contacts,09/23/2014,Grand Gedeh,0.0
Total contacts listed,09/23/2014,Grand Gedeh,0.0
Currently under follow-up,09/23/2014,Grand Gedeh,0.0
Contacts seen,09/23/2014,Grand Gedeh,0.0
Contacts who completed 21 day follow-up,09/23/2014,Grand Gedeh,0.0
Contacts lost to follow-up,09/23/2014,Grand Gedeh,0.0
New admissions,09/23/2014,Grand Gedeh,0.0
Total no. currently in Treatment Units,09/23/2014,Grand Gedeh,0.0
Total discharges,09/23/2014,Grand Gedeh,0.0
Cumulative admission/isolation,09/23/2014,Grand Gedeh,0.0
Newly Reported Cases in HCW,09/23/2014,Grand Gedeh,0.0
Cumulative cases among HCW,09/23/2014,Grand Gedeh,0.0
Newly Reported deaths in HCW,09/23/2014,Grand Gedeh,0.0
Cumulative deaths among HCW,09/23/2014,Grand Gedeh,0.0
New Case/s (Suspected),09/23/2014,Grand Gedeh,0.0
New Case/s (Probable),09/23/2014,Grand Gedeh,0.0
New case/s (confirmed),09/23/2014,Grand Gedeh,0.0
Total suspected cases,09/23/2014,Grand Gedeh,3.0
Total probable cases,09/23/2014,Grand Gedeh,0.0
Total confirmed cases,09/23/2014,Grand Gedeh,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Gedeh,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Gedeh,0.0
Specimens collected,09/23/2014,Grand Kru,
Specimens pending for testing,09/23/2014,Grand Kru,
Total specimens tested,09/23/2014,Grand Kru,
Newly reported deaths,09/23/2014,Grand Kru,1.0
Total death/s in confirmed cases,09/23/2014,Grand Kru,4.0
Total death/s in probable cases,09/23/2014,Grand Kru,3.0
Total death/s in suspected cases,09/23/2014,Grand Kru,1.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Kru,8.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Kru,
Newly reported contacts,09/23/2014,Grand Kru,0.0
Total contacts listed,09/23/2014,Grand Kru,24.0
Currently under follow-up,09/23/2014,Grand Kru,24.0
Contacts seen,09/23/2014,Grand Kru,0.0
Contacts who completed 21 day follow-up,09/23/2014,Grand Kru,0.0
Contacts lost to follow-up,09/23/2014,Grand Kru,0.0
New admissions,09/23/2014,Grand Kru,0.0
Total no. currently in Treatment Units,09/23/2014,Grand Kru,0.0
Total discharges,09/23/2014,Grand Kru,0.0
Cumulative admission/isolation,09/23/2014,Grand Kru,0.0
Newly Reported Cases in HCW,09/23/2014,Grand Kru,0.0
Cumulative cases among HCW,09/23/2014,Grand Kru,0.0
Newly Reported deaths in HCW,09/23/2014,Grand Kru,0.0
Cumulative deaths among HCW,09/23/2014,Grand Kru,0.0
New Case/s (Suspected),09/23/2014,Grand Kru,1.0
New Case/s (Probable),09/23/2014,Grand Kru,0.0
New case/s (confirmed),09/23/2014,Grand Kru,0.0
Total suspected cases,09/23/2014,Grand Kru,3.0
Total probable cases,09/23/2014,Grand Kru,6.0
Total confirmed cases,09/23/2014,Grand Kru,6.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Kru,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Kru,0.0
Specimens collected,09/23/2014,Lofa County,
Specimens pending for testing,09/23/2014,Lofa County,
Total specimens tested,09/23/2014,Lofa County,
Newly reported deaths,09/23/2014,Lofa County,4.0
Total death/s in confirmed cases,09/23/2014,Lofa County,181.0
Total death/s in probable cases,09/23/2014,Lofa County,195.0
Total death/s in suspected cases,09/23/2014,Lofa County,38.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Lofa County,414.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Lofa County,
Newly reported contacts,09/23/2014,Lofa County,34.0
Total contacts listed,09/23/2014,Lofa County,626.0
Currently under follow-up,09/23/2014,Lofa County,295.0
Contacts seen,09/23/2014,Lofa County,295.0
Contacts who completed 21 day follow-up,09/23/2014,Lofa County,11.0
Contacts lost to follow-up,09/23/2014,Lofa County,0.0
New admissions,09/23/2014,Lofa County,4.0
Total no. currently in Treatment Units,09/23/2014,Lofa County,24.0
Total discharges,09/23/2014,Lofa County,4.0
Cumulative admission/isolation,09/23/2014,Lofa County,24.0
Newly Reported Cases in HCW,09/23/2014,Lofa County,0.0
Cumulative cases among HCW,09/23/2014,Lofa County,21.0
Newly Reported deaths in HCW,09/23/2014,Lofa County,0.0
Cumulative deaths among HCW,09/23/2014,Lofa County,17.0
New Case/s (Suspected),09/23/2014,Lofa County,0.0
New Case/s (Probable),09/23/2014,Lofa County,4.0
New case/s (confirmed),09/23/2014,Lofa County,2.0
Total suspected cases,09/23/2014,Lofa County,57.0
Total probable cases,09/23/2014,Lofa County,435.0
Total confirmed cases,09/23/2014,Lofa County,277.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Lofa County,11.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Lofa County,0.0
Specimens collected,09/23/2014,Margibi County,
Specimens pending for testing,09/23/2014,Margibi County,
Total specimens tested,09/23/2014,Margibi County,
Newly reported deaths,09/23/2014,Margibi County,3.0
Total death/s in confirmed cases,09/23/2014,Margibi County,39.0
Total death/s in probable cases,09/23/2014,Margibi County,114.0
Total death/s in suspected cases,09/23/2014,Margibi County,71.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Margibi County,224.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Margibi County,
Newly reported contacts,09/23/2014,Margibi County,47.0
Total contacts listed,09/23/2014,Margibi County,1806.0
Currently under follow-up,09/23/2014,Margibi County,1796.0
Contacts seen,09/23/2014,Margibi County,0.0
Contacts who completed 21 day follow-up,09/23/2014,Margibi County,0.0
Contacts lost to follow-up,09/23/2014,Margibi County,0.0
New admissions,09/23/2014,Margibi County,0.0
Total no. currently in Treatment Units,09/23/2014,Margibi County,0.0
Total discharges,09/23/2014,Margibi County,0.0
Cumulative admission/isolation,09/23/2014,Margibi County,0.0
Newly Reported Cases in HCW,09/23/2014,Margibi County,0.0
Cumulative cases among HCW,09/23/2014,Margibi County,42.0
Newly Reported deaths in HCW,09/23/2014,Margibi County,0.0
Cumulative deaths among HCW,09/23/2014,Margibi County,20.0
New Case/s (Suspected),09/23/2014,Margibi County,15.0
New Case/s (Probable),09/23/2014,Margibi County,1.0
New case/s (confirmed),09/23/2014,Margibi County,0.0
Total suspected cases,09/23/2014,Margibi County,251.0
Total probable cases,09/23/2014,Margibi County,277.0
Total confirmed cases,09/23/2014,Margibi County,39.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Margibi County,1.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Margibi County,0.0
Specimens collected,09/23/2014,Maryland County,
Specimens pending for testing,09/23/2014,Maryland County,
Total specimens tested,09/23/2014,Maryland County,
Newly reported deaths,09/23/2014,Maryland County,0.0
Total death/s in confirmed cases,09/23/2014,Maryland County,0.0
Total death/s in probable cases,09/23/2014,Maryland County,5.0
Total death/s in suspected cases,09/23/2014,Maryland County,3.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Maryland County,8.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Maryland County,
Newly reported contacts,09/23/2014,Maryland County,0.0
Total contacts listed,09/23/2014,Maryland County,6.0
Currently under follow-up,09/23/2014,Maryland County,6.0
Contacts seen,09/23/2014,Maryland County,0.0
Contacts who completed 21 day follow-up,09/23/2014,Maryland County,0.0
Contacts lost to follow-up,09/23/2014,Maryland County,0.0
New admissions,09/23/2014,Maryland County,0.0
Total no. currently in Treatment Units,09/23/2014,Maryland County,0.0
Total discharges,09/23/2014,Maryland County,0.0
Cumulative admission/isolation,09/23/2014,Maryland County,0.0
Newly Reported Cases in HCW,09/23/2014,Maryland County,0.0
Cumulative cases among HCW,09/23/2014,Maryland County,0.0
Newly Reported deaths in HCW,09/23/2014,Maryland County,0.0
Cumulative deaths among HCW,09/23/2014,Maryland County,0.0
New Case/s (Suspected),09/23/2014,Maryland County,0.0
New Case/s (Probable),09/23/2014,Maryland County,0.0
New case/s (confirmed),09/23/2014,Maryland County,0.0
Total suspected cases,09/23/2014,Maryland County,3.0
Total probable cases,09/23/2014,Maryland County,5.0
Total confirmed cases,09/23/2014,Maryland County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Maryland County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Maryland County,0.0
Specimens collected,09/23/2014,Montserrado County,
Specimens pending for testing,09/23/2014,Montserrado County,
Total specimens tested,09/23/2014,Montserrado County,
Newly reported deaths,09/23/2014,Montserrado County,31.0
Total death/s in confirmed cases,09/23/2014,Montserrado County,446.0
Total death/s in probable cases,09/23/2014,Montserrado County,174.0
Total death/s in suspected cases,09/23/2014,Montserrado County,204.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Montserrado County,824.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Montserrado County,
Newly reported contacts,09/23/2014,Montserrado County,197.0
Total contacts listed,09/23/2014,Montserrado County,7194.0
Currently under follow-up,09/23/2014,Montserrado County,2936.0
Contacts seen,09/23/2014,Montserrado County,2864.0
Contacts who completed 21 day follow-up,09/23/2014,Montserrado County,109.0
Contacts lost to follow-up,09/23/2014,Montserrado County,8.0
New admissions,09/23/2014,Montserrado County,0.0
Total no. currently in Treatment Units,09/23/2014,Montserrado County,394.0
Total discharges,09/23/2014,Montserrado County,8.0
Cumulative admission/isolation,09/23/2014,Montserrado County,394.0
Newly Reported Cases in HCW,09/23/2014,Montserrado County,0.0
Cumulative cases among HCW,09/23/2014,Montserrado County,73.0
Newly Reported deaths in HCW,09/23/2014,Montserrado County,0.0
Cumulative deaths among HCW,09/23/2014,Montserrado County,33.0
New Case/s (Suspected),09/23/2014,Montserrado County,22.0
New Case/s (Probable),09/23/2014,Montserrado County,16.0
New case/s (confirmed),09/23/2014,Montserrado County,0.0
Total suspected cases,09/23/2014,Montserrado County,430.0
Total probable cases,09/23/2014,Montserrado County,538.0
Total confirmed cases,09/23/2014,Montserrado County,352.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Montserrado County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Montserrado County,1.0
Specimens collected,09/23/2014,National,
Specimens pending for testing,09/23/2014,National,
Total specimens tested,09/23/2014,National,
Newly reported deaths,09/23/2014,National,51.0
Total death/s in confirmed cases,09/23/2014,National,786.0
Total death/s in probable cases,09/23/2014,National,621.0
Total death/s in suspected cases,09/23/2014,National,412.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,National,1819.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,National,
Newly reported contacts,09/23/2014,National,282.0
Total contacts listed,09/23/2014,National,11911.0
Currently under follow-up,09/23/2014,National,6175.0
Contacts seen,09/23/2014,National,4135.0
Contacts who completed 21 day follow-up,09/23/2014,National,229.0
Contacts lost to follow-up,09/23/2014,National,8.0
New admissions,09/23/2014,National,6.0
Total no. currently in Treatment Units,09/23/2014,National,432.0
Total discharges,09/23/2014,National,14.0
Cumulative admission/isolation,09/23/2014,National,436.0
Newly Reported Cases in HCW,09/23/2014,National,0.0
Cumulative cases among HCW,09/23/2014,National,182.0
Newly Reported deaths in HCW,09/23/2014,National,2.0
Cumulative deaths among HCW,09/23/2014,National,89.0
New Case/s (Suspected),09/23/2014,National,48.0
New Case/s (Probable),09/23/2014,National,24.0
New case/s (confirmed),09/23/2014,National,16.0
Total suspected cases,09/23/2014,National,1005.0
Total probable cases,09/23/2014,National,1537.0
Total confirmed cases,09/23/2014,National,908.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,National,13.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,National,4.0
Specimens collected,09/23/2014,Nimba County,
Specimens pending for testing,09/23/2014,Nimba County,
Total specimens tested,09/23/2014,Nimba County,
Newly reported deaths,09/23/2014,Nimba County,2.0
Total death/s in confirmed cases,09/23/2014,Nimba County,49.0
Total death/s in probable cases,09/23/2014,Nimba County,64.0
Total death/s in suspected cases,09/23/2014,Nimba County,13.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Nimba County,126.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Nimba County,
Newly reported contacts,09/23/2014,Nimba County,0.0
Total contacts listed,09/23/2014,Nimba County,651.0
Currently under follow-up,09/23/2014,Nimba County,351.0
Contacts seen,09/23/2014,Nimba County,351.0
Contacts who completed 21 day follow-up,09/23/2014,Nimba County,0.0
Contacts lost to follow-up,09/23/2014,Nimba County,0.0
New admissions,09/23/2014,Nimba County,0.0
Total no. currently in Treatment Units,09/23/2014,Nimba County,0.0
Total discharges,09/23/2014,Nimba County,0.0
Cumulative admission/isolation,09/23/2014,Nimba County,0.0
Newly Reported Cases in HCW,09/23/2014,Nimba County,0.0
Cumulative cases among HCW,09/23/2014,Nimba County,8.0
Newly Reported deaths in HCW,09/23/2014,Nimba County,2.0
Cumulative deaths among HCW,09/23/2014,Nimba County,6.0
New Case/s (Suspected),09/23/2014,Nimba County,0.0
New Case/s (Probable),09/23/2014,Nimba County,1.0
New case/s (confirmed),09/23/2014,Nimba County,0.0
Total suspected cases,09/23/2014,Nimba County,31.0
Total probable cases,09/23/2014,Nimba County,116.0
Total confirmed cases,09/23/2014,Nimba County,77.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Nimba County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Nimba County,0.0
Specimens collected,09/23/2014,River Gee County,
Specimens pending for testing,09/23/2014,River Gee County,
Total specimens tested,09/23/2014,River Gee County,
Newly reported deaths,09/23/2014,River Gee County,0.0
Total death/s in confirmed cases,09/23/2014,River Gee County,0.0
Total death/s in probable cases,09/23/2014,River Gee County,0.0
Total death/s in suspected cases,09/23/2014,River Gee County,6.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,River Gee County,6.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,River Gee County,
Newly reported contacts,09/23/2014,River Gee County,0.0
Total contacts listed,09/23/2014,River Gee County,19.0
Currently under follow-up,09/23/2014,River Gee County,4.0
Contacts seen,09/23/2014,River Gee County,0.0
Contacts who completed 21 day follow-up,09/23/2014,River Gee County,0.0
Contacts lost to follow-up,09/23/2014,River Gee County,0.0
New admissions,09/23/2014,River Gee County,0.0
Total no. currently in Treatment Units,09/23/2014,River Gee County,0.0
Total discharges,09/23/2014,River Gee County,0.0
Cumulative admission/isolation,09/23/2014,River Gee County,0.0
Newly Reported Cases in HCW,09/23/2014,River Gee County,0.0
Cumulative cases among HCW,09/23/2014,River Gee County,0.0
Newly Reported deaths in HCW,09/23/2014,River Gee County,0.0
Cumulative deaths among HCW,09/23/2014,River Gee County,0.0
New Case/s (Suspected),09/23/2014,River Gee County,0.0
New Case/s (Probable),09/23/2014,River Gee County,0.0
New case/s (confirmed),09/23/2014,River Gee County,0.0
Total suspected cases,09/23/2014,River Gee County,9.0
Total probable cases,09/23/2014,River Gee County,3.0
Total confirmed cases,09/23/2014,River Gee County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,River Gee County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,River Gee County,0.0
Specimens collected,09/23/2014,RiverCess County,
Specimens pending for testing,09/23/2014,RiverCess County,
Total specimens tested,09/23/2014,RiverCess County,
Newly reported deaths,09/23/2014,RiverCess County,0.0
Total death/s in confirmed cases,09/23/2014,RiverCess County,3.0
Total death/s in probable cases,09/23/2014,RiverCess County,3.0
Total death/s in suspected cases,09/23/2014,RiverCess County,2.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,RiverCess County,8.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,RiverCess County,
Newly reported contacts,09/23/2014,RiverCess County,0.0
Total contacts listed,09/23/2014,RiverCess County,91.0
Currently under follow-up,09/23/2014,RiverCess County,44.0
Contacts seen,09/23/2014,RiverCess County,44.0
Contacts who completed 21 day follow-up,09/23/2014,RiverCess County,44.0
Contacts lost to follow-up,09/23/2014,RiverCess County,0.0
New admissions,09/23/2014,RiverCess County,0.0
Total no. currently in Treatment Units,09/23/2014,RiverCess County,0.0
Total discharges,09/23/2014,RiverCess County,0.0
Cumulative admission/isolation,09/23/2014,RiverCess County,0.0
Newly Reported Cases in HCW,09/23/2014,RiverCess County,0.0
Cumulative cases among HCW,09/23/2014,RiverCess County,0.0
Newly Reported deaths in HCW,09/23/2014,RiverCess County,0.0
Cumulative deaths among HCW,09/23/2014,RiverCess County,0.0
New Case/s (Suspected),09/23/2014,RiverCess County,0.0
New Case/s (Probable),09/23/2014,RiverCess County,0.0
New case/s (confirmed),09/23/2014,RiverCess County,0.0
Total suspected cases,09/23/2014,RiverCess County,3.0
Total probable cases,09/23/2014,RiverCess County,3.0
Total confirmed cases,09/23/2014,RiverCess County,4.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,RiverCess County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,RiverCess County,0.0
Specimens collected,09/23/2014,Sinoe County,
Specimens pending for testing,09/23/2014,Sinoe County,
Total specimens tested,09/23/2014,Sinoe County,
Newly reported deaths,09/23/2014,Sinoe County,0.0
Total death/s in confirmed cases,09/23/2014,Sinoe County,2.0
Total death/s in probable cases,09/23/2014,Sinoe County,0.0
Total death/s in suspected cases,09/23/2014,Sinoe County,0.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Sinoe County,2.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Sinoe County,
Newly reported contacts,09/23/2014,Sinoe County,0.0
