Description,Date,Location,Value
New admits to CTE so far,2014-08-27,Coyah,
Total number of hospitalized cases in CTE,2014-08-27,Coyah,
Total number of exits from CTE,2014-08-27,Coyah,
Total number of admissions to CTE,2014-08-27,Coyah,
New contacts registered so far,2014-08-27,Coyah,
Total contacts registered from start date,2014-08-27,Coyah,
Number of contacts to follow today,2014-08-27,Coyah,
Number of contacts followed today,2014-08-27,Coyah,
Number of contacts out of the track 21 days,2014-08-27,Coyah,
Number of contacts lost to follow up,2014-08-27,Coyah,
Number of samples collected today,2014-08-27,Coyah,
Number of samples under test,2014-08-27,Coyah,
Total samples tested,2014-08-27,Coyah,
New cases of suspects,2014-08-27,Dabola,0
New cases of probables,2014-08-27,Dabola,0
New cases of confirmed,2014-08-27,Dabola,0
Total new cases registered so far,2014-08-27,Dabola,0
Total cases of suspects,2014-08-27,Dabola,0
Total cases of probables,2014-08-27,Dabola,3
Total cases of confirmed,2014-08-27,Dabola,1
Cumulative (confirmed + probable + suspects),2014-08-27,Dabola,4
Total suspected non-class cases,2014-08-27,Dabola,1
New deaths registered,2014-08-27,Dabola,0
Total deaths of suspects,2014-08-27,Dabola,0
Total deaths of probables,2014-08-27,Dabola,3
Total deaths of confirmed,2014-08-27,Dabola,1
Total deaths (confirmed + probables + suspects),2014-08-27,Dabola,4
Fatality rate for confirmed and probables,2014-08-27,Dabola,100%
New cases of confirmed among health workers,2014-08-27,Dabola,0
Total case of confirmed among health workers,2014-08-27,Dabola,0
New deaths registered among health workers,2014-08-27,Dabola,0
Total deaths registered among health workers,2014-08-27,Dabola,0
New admits to CTE so far,2014-08-27,Dabola,0
Total number of hospitalized cases in CTE,2014-08-27,Dabola,0
Total number of exits from CTE,2014-08-27,Dabola,0
Total number of admissions to CTE,2014-08-27,Dabola,0
New contacts registered so far,2014-08-27,Dabola,0
Total contacts registered from start date,2014-08-27,Dabola,69
Number of contacts to follow today,2014-08-27,Dabola,0
Number of contacts followed today,2014-08-27,Dabola,0
Number of contacts out of the track 21 days,2014-08-27,Dabola,69
Number of contacts lost to follow up,2014-08-27,Dabola,0
Number of samples collected today,2014-08-27,Dabola,
Number of samples under test,2014-08-27,Dabola,
Total samples tested,2014-08-27,Dabola,
New cases of suspects,2014-08-27,Dalaba,
New cases of probables,2014-08-27,Dalaba,
New cases of confirmed,2014-08-27,Dalaba,
Total new cases registered so far,2014-08-27,Dalaba,
Total cases of suspects,2014-08-27,Dalaba,
Total cases of probables,2014-08-27,Dalaba,
Total cases of confirmed,2014-08-27,Dalaba,
Cumulative (confirmed + probable + suspects),2014-08-27,Dalaba,
Total suspected non-class cases,2014-08-27,Dalaba,
New deaths registered,2014-08-27,Dalaba,
Total deaths of suspects,2014-08-27,Dalaba,
Total deaths of probables,2014-08-27,Dalaba,
Total deaths of confirmed,2014-08-27,Dalaba,
Total deaths (confirmed + probables + suspects),2014-08-27,Dalaba,
Fatality rate for confirmed and probables,2014-08-27,Dalaba,
New cases of confirmed among health workers,2014-08-27,Dalaba,
Total case of confirmed among health workers,2014-08-27,Dalaba,
New deaths registered among health workers,2014-08-27,Dalaba,
Total deaths registered among health workers,2014-08-27,Dalaba,
New admits to CTE so far,2014-08-27,Dalaba,
Total number of hospitalized cases in CTE,2014-08-27,Dalaba,
Total number of exits from CTE,2014-08-27,Dalaba,
Total number of admissions to CTE,2014-08-27,Dalaba,
New contacts registered so far,2014-08-27,Dalaba,
Total contacts registered from start date,2014-08-27,Dalaba,
Number of contacts to follow today,2014-08-27,Dalaba,
Number of contacts followed today,2014-08-27,Dalaba,
Number of contacts out of the track 21 days,2014-08-27,Dalaba,
Number of contacts lost to follow up,2014-08-27,Dalaba,
Number of samples collected today,2014-08-27,Dalaba,
Number of samples under test,2014-08-27,Dalaba,
Total samples tested,2014-08-27,Dalaba,
New cases of suspects,2014-08-27,Dinguiraye,0
New cases of probables,2014-08-27,Dinguiraye,0
New cases of confirmed,2014-08-27,Dinguiraye,0
Total new cases registered so far,2014-08-27,Dinguiraye,0
Total cases of suspects,2014-08-27,Dinguiraye,0
Total cases of probables,2014-08-27,Dinguiraye,1
Total cases of confirmed,2014-08-27,Dinguiraye,0
Cumulative (confirmed + probable + suspects),2014-08-27,Dinguiraye,1
Total suspected non-class cases,2014-08-27,Dinguiraye,0
New deaths registered,2014-08-27,Dinguiraye,0
Total deaths of suspects,2014-08-27,Dinguiraye,0
Total deaths of probables,2014-08-27,Dinguiraye,1
Total deaths of confirmed,2014-08-27,Dinguiraye,0
Total deaths (confirmed + probables + suspects),2014-08-27,Dinguiraye,1
Fatality rate for confirmed and probables,2014-08-27,Dinguiraye,100%
New cases of confirmed among health workers,2014-08-27,Dinguiraye,0
Total case of confirmed among health workers,2014-08-27,Dinguiraye,0
New deaths registered among health workers,2014-08-27,Dinguiraye,0
Total deaths registered among health workers,2014-08-27,Dinguiraye,0
New admits to CTE so far,2014-08-27,Dinguiraye,0
Total number of hospitalized cases in CTE,2014-08-27,Dinguiraye,0
Total number of exits from CTE,2014-08-27,Dinguiraye,0
Total number of admissions to CTE,2014-08-27,Dinguiraye,0
New contacts registered so far,2014-08-27,Dinguiraye,0
Total contacts registered from start date,2014-08-27,Dinguiraye,0
Number of contacts to follow today,2014-08-27,Dinguiraye,0
Number of contacts followed today,2014-08-27,Dinguiraye,0
Number of contacts out of the track 21 days,2014-08-27,Dinguiraye,0
Number of contacts lost to follow up,2014-08-27,Dinguiraye,0
Number of samples collected today,2014-08-27,Dinguiraye,
Number of samples under test,2014-08-27,Dinguiraye,
Total samples tested,2014-08-27,Dinguiraye,
New cases of suspects,2014-08-27,Dubreka,0
New cases of probables,2014-08-27,Dubreka,0
New cases of confirmed,2014-08-27,Dubreka,1
Total new cases registered so far,2014-08-27,Dubreka,1
Total cases of suspects,2014-08-27,Dubreka,0
Total cases of probables,2014-08-27,Dubreka,
Total cases of confirmed,2014-08-27,Dubreka,
Cumulative (confirmed + probable + suspects),2014-08-27,Dubreka,
Total suspected non-class cases,2014-08-27,Dubreka,
New deaths registered,2014-08-27,Dubreka,
Total deaths of suspects,2014-08-27,Dubreka,
Total deaths of probables,2014-08-27,Dubreka,
Total deaths of confirmed,2014-08-27,Dubreka,
Total deaths (confirmed + probables + suspects),2014-08-27,Dubreka,
Fatality rate for confirmed and probables,2014-08-27,Dubreka,
New cases of confirmed among health workers,2014-08-27,Dubreka,
Total case of confirmed among health workers,2014-08-27,Dubreka,
New deaths registered among health workers,2014-08-27,Dubreka,
Total deaths registered among health workers,2014-08-27,Dubreka,
New admits to CTE so far,2014-08-27,Dubreka,
Total number of hospitalized cases in CTE,2014-08-27,Dubreka,
Total number of exits from CTE,2014-08-27,Dubreka,
Total number of admissions to CTE,2014-08-27,Dubreka,
New contacts registered so far,2014-08-27,Dubreka,
Total contacts registered from start date,2014-08-27,Dubreka,
Number of contacts to follow today,2014-08-27,Dubreka,
Number of contacts followed today,2014-08-27,Dubreka,
Number of contacts out of the track 21 days,2014-08-27,Dubreka,
Number of contacts lost to follow up,2014-08-27,Dubreka,
Number of samples collected today,2014-08-27,Dubreka,
Number of samples under test,2014-08-27,Dubreka,
Total samples tested,2014-08-27,Dubreka,
New cases of suspects,2014-08-27,Forecariah,
New cases of probables,2014-08-27,Forecariah,
New cases of confirmed,2014-08-27,Forecariah,
Total new cases registered so far,2014-08-27,Forecariah,
Total cases of suspects,2014-08-27,Forecariah,
Total cases of probables,2014-08-27,Forecariah,
Total cases of confirmed,2014-08-27,Forecariah,
Cumulative (confirmed + probable + suspects),2014-08-27,Forecariah,
Total suspected non-class cases,2014-08-27,Forecariah,
New deaths registered,2014-08-27,Forecariah,
Total deaths of suspects,2014-08-27,Forecariah,
Total deaths of probables,2014-08-27,Forecariah,
Total deaths of confirmed,2014-08-27,Forecariah,
Total deaths (confirmed + probables + suspects),2014-08-27,Forecariah,
Fatality rate for confirmed and probables,2014-08-27,Forecariah,
New cases of confirmed among health workers,2014-08-27,Forecariah,
Total case of confirmed among health workers,2014-08-27,Forecariah,
New deaths registered among health workers,2014-08-27,Forecariah,
Total deaths registered among health workers,2014-08-27,Forecariah,
New admits to CTE so far,2014-08-27,Forecariah,
Total number of hospitalized cases in CTE,2014-08-27,Forecariah,
Total number of exits from CTE,2014-08-27,Forecariah,
Total number of admissions to CTE,2014-08-27,Forecariah,
New contacts registered so far,2014-08-27,Forecariah,
Total contacts registered from start date,2014-08-27,Forecariah,
Number of contacts to follow today,2014-08-27,Forecariah,
Number of contacts followed today,2014-08-27,Forecariah,
Number of contacts out of the track 21 days,2014-08-27,Forecariah,
Number of contacts lost to follow up,2014-08-27,Forecariah,
Number of samples collected today,2014-08-27,Forecariah,
Number of samples under test,2014-08-27,Forecariah,
Total samples tested,2014-08-27,Forecariah,
New cases of suspects,2014-08-27,Gueckedou,3
New cases of probables,2014-08-27,Gueckedou,0
New cases of confirmed,2014-08-27,Gueckedou,0
Total new cases registered so far,2014-08-27,Gueckedou,3
Total cases of suspects,2014-08-27,Gueckedou,4
Total cases of probables,2014-08-27,Gueckedou,102
Total cases of confirmed,2014-08-27,Gueckedou,207
Cumulative (confirmed + probable + suspects),2014-08-27,Gueckedou,313
Total suspected non-class cases,2014-08-27,Gueckedou,192
New deaths registered,2014-08-27,Gueckedou,0
Total deaths of suspects,2014-08-27,Gueckedou,0
Total deaths of probables,2014-08-27,Gueckedou,102
Total deaths of confirmed,2014-08-27,Gueckedou,166
Total deaths (confirmed + probables + suspects),2014-08-27,Gueckedou,268
Fatality rate for confirmed and probables,2014-08-27,Gueckedou,86%
New cases of confirmed among health workers,2014-08-27,Gueckedou,0
Total case of confirmed among health workers,2014-08-27,Gueckedou,7
New deaths registered among health workers,2014-08-27,Gueckedou,0
Total deaths registered among health workers,2014-08-27,Gueckedou,5
New admits to CTE so far,2014-08-27,Gueckedou,7
Total number of hospitalized cases in CTE,2014-08-27,Gueckedou,54
Total number of exits from CTE,2014-08-27,Gueckedou,8
Total number of admissions to CTE,2014-08-27,Gueckedou,638
New contacts registered so far,2014-08-27,Gueckedou,86
Total contacts registered from start date,2014-08-27,Gueckedou,3418
Number of contacts to follow today,2014-08-27,Gueckedou,302
Number of contacts followed today,2014-08-27,Gueckedou,300
Number of contacts out of the track 21 days,2014-08-27,Gueckedou,3116
Number of contacts lost to follow up,2014-08-27,Gueckedou,2
Number of samples collected today,2014-08-27,Gueckedou,46
Number of samples under test,2014-08-27,Gueckedou,0
Total samples tested,2014-08-27,Gueckedou,977
New cases of suspects,2014-08-27,Kerouane,
New cases of probables,2014-08-27,Kerouane,
New cases of confirmed,2014-08-27,Kerouane,
Total new cases registered so far,2014-08-27,Kerouane,
Total cases of suspects,2014-08-27,Kerouane,
Total cases of probables,2014-08-27,Kerouane,
Total cases of confirmed,2014-08-27,Kerouane,
Cumulative (confirmed + probable + suspects),2014-08-27,Kerouane,
Total suspected non-class cases,2014-08-27,Kerouane,
New deaths registered,2014-08-27,Kerouane,
Total deaths of suspects,2014-08-27,Kerouane,
Total deaths of probables,2014-08-27,Kerouane,
Total deaths of confirmed,2014-08-27,Kerouane,
Total deaths (confirmed + probables + suspects),2014-08-27,Kerouane,
Fatality rate for confirmed and probables,2014-08-27,Kerouane,
New cases of confirmed among health workers,2014-08-27,Kerouane,
Total case of confirmed among health workers,2014-08-27,Kerouane,
New deaths registered among health workers,2014-08-27,Kerouane,
Total deaths registered among health workers,2014-08-27,Kerouane,
New admits to CTE so far,2014-08-27,Kerouane,
Total number of hospitalized cases in CTE,2014-08-27,Kerouane,
Total number of exits from CTE,2014-08-27,Kerouane,
Total number of admissions to CTE,2014-08-27,Kerouane,
New contacts registered so far,2014-08-27,Kerouane,
Total contacts registered from start date,2014-08-27,Kerouane,
Number of contacts to follow today,2014-08-27,Kerouane,
Number of contacts followed today,2014-08-27,Kerouane,
Number of contacts out of the track 21 days,2014-08-27,Kerouane,
Number of contacts lost to follow up,2014-08-27,Kerouane,
Number of samples collected today,2014-08-27,Kerouane,
Number of samples under test,2014-08-27,Kerouane,
Total samples tested,2014-08-27,Kerouane,
New cases of suspects,2014-08-27,Kindia,
New cases of probables,2014-08-27,Kindia,
New cases of confirmed,2014-08-27,Kindia,
Total new cases registered so far,2014-08-27,Kindia,
Total cases of suspects,2014-08-27,Kindia,
Total cases of probables,2014-08-27,Kindia,
Total cases of confirmed,2014-08-27,Kindia,
Cumulative (confirmed + probable + suspects),2014-08-27,Kindia,
Total suspected non-class cases,2014-08-27,Kindia,
New deaths registered,2014-08-27,Kindia,
Total deaths of suspects,2014-08-27,Kindia,
Total deaths of probables,2014-08-27,Kindia,
Total deaths of confirmed,2014-08-27,Kindia,
Total deaths (confirmed + probables + suspects),2014-08-27,Kindia,
Fatality rate for confirmed and probables,2014-08-27,Kindia,
New cases of confirmed among health workers,2014-08-27,Kindia,
Total case of confirmed among health workers,2014-08-27,Kindia,
New deaths registered among health workers,2014-08-27,Kindia,
Total deaths registered among health workers,2014-08-27,Kindia,
New admits to CTE so far,2014-08-27,Kindia,
Total number of hospitalized cases in CTE,2014-08-27,Kindia,
Total number of exits from CTE,2014-08-27,Kindia,
Total number of admissions to CTE,2014-08-27,Kindia,
New contacts registered so far,2014-08-27,Kindia,
Total contacts registered from start date,2014-08-27,Kindia,
Number of contacts to follow today,2014-08-27,Kindia,
Number of contacts followed today,2014-08-27,Kindia,
Number of contacts out of the track 21 days,2014-08-27,Kindia,
Number of contacts lost to follow up,2014-08-27,Kindia,
Number of samples collected today,2014-08-27,Kindia,
Number of samples under test,2014-08-27,Kindia,
Total samples tested,2014-08-27,Kindia,
New cases of suspects,2014-08-27,Kissidougou,0
New cases of probables,2014-08-27,Kissidougou,0
New cases of confirmed,2014-08-27,Kissidougou,0
Total new cases registered so far,2014-08-27,Kissidougou,0
Total cases of suspects,2014-08-27,Kissidougou,0
Total cases of probables,2014-08-27,Kissidougou,5
Total cases of confirmed,2014-08-27,Kissidougou,2
Cumulative (confirmed + probable + suspects),2014-08-27,Kissidougou,7
Total suspected non-class cases,2014-08-27,Kissidougou,8
New deaths registered,2014-08-27,Kissidougou,0
Total deaths of suspects,2014-08-27,Kissidougou,0
Total deaths of probables,2014-08-27,Kissidougou,5
Total deaths of confirmed,2014-08-27,Kissidougou,1
Total deaths (confirmed + probables + suspects),2014-08-27,Kissidougou,6
Fatality rate for confirmed and probables,2014-08-27,Kissidougou,86%
New cases of confirmed among health workers,2014-08-27,Kissidougou,0
Total case of confirmed among health workers,2014-08-27,Kissidougou,0
New deaths registered among health workers,2014-08-27,Kissidougou,0
Total deaths registered among health workers,2014-08-27,Kissidougou,0
New admits to CTE so far,2014-08-27,Kissidougou,0
Total number of hospitalized cases in CTE,2014-08-27,Kissidougou,0
Total number of exits from CTE,2014-08-27,Kissidougou,0
Total number of admissions to CTE,2014-08-27,Kissidougou,0
New contacts registered so far,2014-08-27,Kissidougou,0
Total contacts registered from start date,2014-08-27,Kissidougou,159
Number of contacts to follow today,2014-08-27,Kissidougou,0
Number of contacts followed today,2014-08-27,Kissidougou,0
Number of contacts out of the track 21 days,2014-08-27,Kissidougou,159
Number of contacts lost to follow up,2014-08-27,Kissidougou,0
Number of samples collected today,2014-08-27,Kissidougou,
Number of samples under test,2014-08-27,Kissidougou,
Total samples tested,2014-08-27,Kissidougou,
New cases of suspects,2014-08-27,Kouroussa,0
New cases of probables,2014-08-27,Kouroussa,0
New cases of confirmed,2014-08-27,Kouroussa,0
Total new cases registered so far,2014-08-27,Kouroussa,0
Total cases of suspects,2014-08-27,Kouroussa,0
Total cases of probables,2014-08-27,Kouroussa,
Total cases of confirmed,2014-08-27,Kouroussa,
Cumulative (confirmed + probable + suspects),2014-08-27,Kouroussa,
Total suspected non-class cases,2014-08-27,Kouroussa,
New deaths registered,2014-08-27,Kouroussa,
Total deaths of suspects,2014-08-27,Kouroussa,
Total deaths of probables,2014-08-27,Kouroussa,
Total deaths of confirmed,2014-08-27,Kouroussa,
Total deaths (confirmed + probables + suspects),2014-08-27,Kouroussa,
Fatality rate for confirmed and probables,2014-08-27,Kouroussa,
New cases of confirmed among health workers,2014-08-27,Kouroussa,
Total case of confirmed among health workers,2014-08-27,Kouroussa,
New deaths registered among health workers,2014-08-27,Kouroussa,
Total deaths registered among health workers,2014-08-27,Kouroussa,
New admits to CTE so far,2014-08-27,Kouroussa,
Total number of hospitalized cases in CTE,2014-08-27,Kouroussa,
Total number of exits from CTE,2014-08-27,Kouroussa,
Total number of admissions to CTE,2014-08-27,Kouroussa,
New contacts registered so far,2014-08-27,Kouroussa,
Total contacts registered from start date,2014-08-27,Kouroussa,
Number of contacts to follow today,2014-08-27,Kouroussa,
Number of contacts followed today,2014-08-27,Kouroussa,
Number of contacts out of the track 21 days,2014-08-27,Kouroussa,
Number of contacts lost to follow up,2014-08-27,Kouroussa,
Number of samples collected today,2014-08-27,Kouroussa,
Number of samples under test,2014-08-27,Kouroussa,
Total samples tested,2014-08-27,Kouroussa,
New cases of suspects,2014-08-27,Lola,
New cases of probables,2014-08-27,Lola,
New cases of confirmed,2014-08-27,Lola,
Total new cases registered so far,2014-08-27,Lola,
Total cases of suspects,2014-08-27,Lola,
Total cases of probables,2014-08-27,Lola,
Total cases of confirmed,2014-08-27,Lola,
Cumulative (confirmed + probable + suspects),2014-08-27,Lola,
Total suspected non-class cases,2014-08-27,Lola,
New deaths registered,2014-08-27,Lola,
Total deaths of suspects,2014-08-27,Lola,
Total deaths of probables,2014-08-27,Lola,
Total deaths of confirmed,2014-08-27,Lola,
Total deaths (confirmed + probables + suspects),2014-08-27,Lola,
Fatality rate for confirmed and probables,2014-08-27,Lola,
New cases of confirmed among health workers,2014-08-27,Lola,
Total case of confirmed among health workers,2014-08-27,Lola,
New deaths registered among health workers,2014-08-27,Lola,
Total deaths registered among health workers,2014-08-27,Lola,
New admits to CTE so far,2014-08-27,Lola,
Total number of hospitalized cases in CTE,2014-08-27,Lola,
Total number of exits from CTE,2014-08-27,Lola,
Total number of admissions to CTE,2014-08-27,Lola,
New contacts registered so far,2014-08-27,Lola,
Total contacts registered from start date,2014-08-27,Lola,
Number of contacts to follow today,2014-08-27,Lola,
Number of contacts followed today,2014-08-27,Lola,
Number of contacts out of the track 21 days,2014-08-27,Lola,
Number of contacts lost to follow up,2014-08-27,Lola,
Number of samples collected today,2014-08-27,Lola,
Number of samples under test,2014-08-27,Lola,
Total samples tested,2014-08-27,Lola,
New cases of suspects,2014-08-27,Macenta,7
New cases of probables,2014-08-27,Macenta,0
New cases of confirmed,2014-08-27,Macenta,5
Total new cases registered so far,2014-08-27,Macenta,12
Total cases of suspects,2014-08-27,Macenta,8
Total cases of probables,2014-08-27,Macenta,11
Total cases of confirmed,2014-08-27,Macenta,103
Cumulative (confirmed + probable + suspects),2014-08-27,Macenta,122
Total suspected non-class cases,2014-08-27,Macenta,63
New deaths registered,2014-08-27,Macenta,2
Total deaths of suspects,2014-08-27,Macenta,0
Total deaths of probables,2014-08-27,Macenta,11
Total deaths of confirmed,2014-08-27,Macenta,53
Total deaths (confirmed + probables + suspects),2014-08-27,Macenta,64
Fatality rate for confirmed and probables,2014-08-27,Macenta,52%
New cases of confirmed among health workers,2014-08-27,Macenta,0
Total case of confirmed among health workers,2014-08-27,Macenta,9
New deaths registered among health workers,2014-08-27,Macenta,0
Total deaths registered among health workers,2014-08-27,Macenta,7
New admits to CTE so far,2014-08-27,Macenta,0
Total number of hospitalized cases in CTE,2014-08-27,Macenta,0
Total number of exits from CTE,2014-08-27,Macenta,0
Total number of admissions to CTE,2014-08-27,Macenta,0
New contacts registered so far,2014-08-27,Macenta,24
Total contacts registered from start date,2014-08-27,Macenta,680
Number of contacts to follow today,2014-08-27,Macenta,360
Number of contacts followed today,2014-08-27,Macenta,359
Number of contacts out of the track 21 days,2014-08-27,Macenta,434
Number of contacts lost to follow up,2014-08-27,Macenta,1
Number of samples collected today,2014-08-27,Macenta,0
Number of samples under test,2014-08-27,Macenta,0
Total samples tested,2014-08-27,Macenta,0
New cases of suspects,2014-08-27,Nzerekore,1
New cases of probables,2014-08-27,Nzerekore,0
New cases of confirmed,2014-08-27,Nzerekore,0
Total new cases registered so far,2014-08-27,Nzerekore,1
Total cases of suspects,2014-08-27,Nzerekore,1
Total cases of probables,2014-08-27,Nzerekore,
Total cases of confirmed,2014-08-27,Nzerekore,
Cumulative (confirmed + probable + suspects),2014-08-27,Nzerekore,
Total suspected non-class cases,2014-08-27,Nzerekore,
New deaths registered,2014-08-27,Nzerekore,
Total deaths of suspects,2014-08-27,Nzerekore,
Total deaths of probables,2014-08-27,Nzerekore,
Total deaths of confirmed,2014-08-27,Nzerekore,
Total deaths (confirmed + probables + suspects),2014-08-27,Nzerekore,
Fatality rate for confirmed and probables,2014-08-27,Nzerekore,
New cases of confirmed among health workers,2014-08-27,Nzerekore,
Total case of confirmed among health workers,2014-08-27,Nzerekore,
New deaths registered among health workers,2014-08-27,Nzerekore,
Total deaths registered among health workers,2014-08-27,Nzerekore,
New admits to CTE so far,2014-08-27,Nzerekore,
Total number of hospitalized cases in CTE,2014-08-27,Nzerekore,
Total number of exits from CTE,2014-08-27,Nzerekore,
Total number of admissions to CTE,2014-08-27,Nzerekore,
New contacts registered so far,2014-08-27,Nzerekore,
Total contacts registered from start date,2014-08-27,Nzerekore,
Number of contacts to follow today,2014-08-27,Nzerekore,
Number of contacts followed today,2014-08-27,Nzerekore,
Number of contacts out of the track 21 days,2014-08-27,Nzerekore,
Number of contacts lost to follow up,2014-08-27,Nzerekore,
Number of samples collected today,2014-08-27,Nzerekore,
Number of samples under test,2014-08-27,Nzerekore,
Total samples tested,2014-08-27,Nzerekore,
New cases of suspects,2014-08-27,Pita,0
New cases of probables,2014-08-27,Pita,0
New cases of confirmed,2014-08-27,Pita,0
Total new cases registered so far,2014-08-27,Pita,0
Total cases of suspects,2014-08-27,Pita,0
Total cases of probables,2014-08-27,Pita,
Total cases of confirmed,2014-08-27,Pita,
Cumulative (confirmed + probable + suspects),2014-08-27,Pita,
Total suspected non-class cases,2014-08-27,Pita,
New deaths registered,2014-08-27,Pita,
Total deaths of suspects,2014-08-27,Pita,
Total deaths of probables,2014-08-27,Pita,
