,Description,Date,Location,Value
677,Total cases of probables,2014-08-27,Coyah,
678,Total cases of confirmed,2014-08-27,Coyah,
679,Cumulative (confirmed + probable + suspects),2014-08-27,Coyah,
680,Total suspected non-class cases,2014-08-27,Coyah,
681,New deaths registered,2014-08-27,Coyah,
682,Total deaths of suspects,2014-08-27,Coyah,
683,Total deaths of probables,2014-08-27,Coyah,
684,Total deaths of confirmed,2014-08-27,Coyah,
685,Total deaths (confirmed + probables + suspects),2014-08-27,Coyah,
686,Fatality rate for confirmed and probables,2014-08-27,Coyah,
687,New cases of confirmed among health workers,2014-08-27,Coyah,
688,Total case of confirmed among health workers,2014-08-27,Coyah,
689,New deaths registered among health workers,2014-08-27,Coyah,
690,Total deaths registered among health workers,2014-08-27,Coyah,
691,New admits to CTE so far,2014-08-27,Coyah,
692,Total number of hospitalized cases in CTE,2014-08-27,Coyah,
693,Total number of exits from CTE,2014-08-27,Coyah,
694,Total number of admissions to CTE,2014-08-27,Coyah,
695,New contacts registered so far,2014-08-27,Coyah,
696,Total contacts registered from start date,2014-08-27,Coyah,
697,Number of contacts to follow today,2014-08-27,Coyah,
698,Number of contacts followed today,2014-08-27,Coyah,
699,Number of contacts out of the track 21 days,2014-08-27,Coyah,
700,Number of contacts lost to follow up,2014-08-27,Coyah,
701,Number of samples collected today,2014-08-27,Coyah,
702,Number of samples under test,2014-08-27,Coyah,
703,Total samples tested,2014-08-27,Coyah,
864,New cases of suspects,2014-08-27,Dabola,0
865,New cases of probables,2014-08-27,Dabola,0
866,New cases of confirmed,2014-08-27,Dabola,0
867,Total new cases registered so far,2014-08-27,Dabola,0
868,Total cases of suspects,2014-08-27,Dabola,0
869,Total cases of probables,2014-08-27,Dabola,3
870,Total cases of confirmed,2014-08-27,Dabola,1
871,Cumulative (confirmed + probable + suspects),2014-08-27,Dabola,4
872,Total suspected non-class cases,2014-08-27,Dabola,1
873,New deaths registered,2014-08-27,Dabola,0
874,Total deaths of suspects,2014-08-27,Dabola,0
875,Total deaths of probables,2014-08-27,Dabola,3
876,Total deaths of confirmed,2014-08-27,Dabola,1
877,Total deaths (confirmed + probables + suspects),2014-08-27,Dabola,4
878,Fatality rate for confirmed and probables,2014-08-27,Dabola,100%
879,New cases of confirmed among health workers,2014-08-27,Dabola,0
880,Total case of confirmed among health workers,2014-08-27,Dabola,0
881,New deaths registered among health workers,2014-08-27,Dabola,0
882,Total deaths registered among health workers,2014-08-27,Dabola,0
883,New admits to CTE so far,2014-08-27,Dabola,0
884,Total number of hospitalized cases in CTE,2014-08-27,Dabola,0
885,Total number of exits from CTE,2014-08-27,Dabola,0
886,Total number of admissions to CTE,2014-08-27,Dabola,0
887,New contacts registered so far,2014-08-27,Dabola,0
888,Total contacts registered from start date,2014-08-27,Dabola,69
889,Number of contacts to follow today,2014-08-27,Dabola,0
890,Number of contacts followed today,2014-08-27,Dabola,0
891,Number of contacts out of the track 21 days,2014-08-27,Dabola,69
892,Number of contacts lost to follow up,2014-08-27,Dabola,0
893,Number of samples collected today,2014-08-27,Dabola,
894,Number of samples under test,2014-08-27,Dabola,
895,Total samples tested,2014-08-27,Dabola,
1056,New cases of suspects,2014-08-27,Dalaba,
1057,New cases of probables,2014-08-27,Dalaba,
1058,New cases of confirmed,2014-08-27,Dalaba,
1059,Total new cases registered so far,2014-08-27,Dalaba,
1060,Total cases of suspects,2014-08-27,Dalaba,
1061,Total cases of probables,2014-08-27,Dalaba,
1062,Total cases of confirmed,2014-08-27,Dalaba,
1063,Cumulative (confirmed + probable + suspects),2014-08-27,Dalaba,
1064,Total suspected non-class cases,2014-08-27,Dalaba,
1065,New deaths registered,2014-08-27,Dalaba,
1066,Total deaths of suspects,2014-08-27,Dalaba,
1067,Total deaths of probables,2014-08-27,Dalaba,
1068,Total deaths of confirmed,2014-08-27,Dalaba,
1069,Total deaths (confirmed + probables + suspects),2014-08-27,Dalaba,
1070,Fatality rate for confirmed and probables,2014-08-27,Dalaba,
1071,New cases of confirmed among health workers,2014-08-27,Dalaba,
1072,Total case of confirmed among health workers,2014-08-27,Dalaba,
1073,New deaths registered among health workers,2014-08-27,Dalaba,
1074,Total deaths registered among health workers,2014-08-27,Dalaba,
1075,New admits to CTE so far,2014-08-27,Dalaba,
1076,Total number of hospitalized cases in CTE,2014-08-27,Dalaba,
1077,Total number of exits from CTE,2014-08-27,Dalaba,
1078,Total number of admissions to CTE,2014-08-27,Dalaba,
1079,New contacts registered so far,2014-08-27,Dalaba,
1080,Total contacts registered from start date,2014-08-27,Dalaba,
1081,Number of contacts to follow today,2014-08-27,Dalaba,
1082,Number of contacts followed today,2014-08-27,Dalaba,
1083,Number of contacts out of the track 21 days,2014-08-27,Dalaba,
1084,Number of contacts lost to follow up,2014-08-27,Dalaba,
1085,Number of samples collected today,2014-08-27,Dalaba,
1086,Number of samples under test,2014-08-27,Dalaba,
1087,Total samples tested,2014-08-27,Dalaba,
1248,New cases of suspects,2014-08-27,Dinguiraye,0
1249,New cases of probables,2014-08-27,Dinguiraye,0
1250,New cases of confirmed,2014-08-27,Dinguiraye,0
1251,Total new cases registered so far,2014-08-27,Dinguiraye,0
1252,Total cases of suspects,2014-08-27,Dinguiraye,0
1253,Total cases of probables,2014-08-27,Dinguiraye,1
1254,Total cases of confirmed,2014-08-27,Dinguiraye,0
1255,Cumulative (confirmed + probable + suspects),2014-08-27,Dinguiraye,1
1256,Total suspected non-class cases,2014-08-27,Dinguiraye,0
1257,New deaths registered,2014-08-27,Dinguiraye,0
1258,Total deaths of suspects,2014-08-27,Dinguiraye,0
1259,Total deaths of probables,2014-08-27,Dinguiraye,1
1260,Total deaths of confirmed,2014-08-27,Dinguiraye,0
1261,Total deaths (confirmed + probables + suspects),2014-08-27,Dinguiraye,1
1262,Fatality rate for confirmed and probables,2014-08-27,Dinguiraye,100%
1263,New cases of confirmed among health workers,2014-08-27,Dinguiraye,0
1264,Total case of confirmed among health workers,2014-08-27,Dinguiraye,0
1265,New deaths registered among health workers,2014-08-27,Dinguiraye,0
1266,Total deaths registered among health workers,2014-08-27,Dinguiraye,0
1267,New admits to CTE so far,2014-08-27,Dinguiraye,0
1268,Total number of hospitalized cases in CTE,2014-08-27,Dinguiraye,0
1269,Total number of exits from CTE,2014-08-27,Dinguiraye,0
1270,Total number of admissions to CTE,2014-08-27,Dinguiraye,0
1271,New contacts registered so far,2014-08-27,Dinguiraye,0
1272,Total contacts registered from start date,2014-08-27,Dinguiraye,0
1273,Number of contacts to follow today,2014-08-27,Dinguiraye,0
1274,Number of contacts followed today,2014-08-27,Dinguiraye,0
1275,Number of contacts out of the track 21 days,2014-08-27,Dinguiraye,0
1276,Number of contacts lost to follow up,2014-08-27,Dinguiraye,0
1277,Number of samples collected today,2014-08-27,Dinguiraye,
1278,Number of samples under test,2014-08-27,Dinguiraye,
1279,Total samples tested,2014-08-27,Dinguiraye,
1440,New cases of suspects,2014-08-27,Dubreka,0
1441,New cases of probables,2014-08-27,Dubreka,0
1442,New cases of confirmed,2014-08-27,Dubreka,1
1443,Total new cases registered so far,2014-08-27,Dubreka,1
1444,Total cases of suspects,2014-08-27,Dubreka,0
1445,Total cases of probables,2014-08-27,Dubreka,
1446,Total cases of confirmed,2014-08-27,Dubreka,
1447,Cumulative (confirmed + probable + suspects),2014-08-27,Dubreka,
1448,Total suspected non-class cases,2014-08-27,Dubreka,
1449,New deaths registered,2014-08-27,Dubreka,
1450,Total deaths of suspects,2014-08-27,Dubreka,
1451,Total deaths of probables,2014-08-27,Dubreka,
1452,Total deaths of confirmed,2014-08-27,Dubreka,
1453,Total deaths (confirmed + probables + suspects),2014-08-27,Dubreka,
1454,Fatality rate for confirmed and probables,2014-08-27,Dubreka,
1455,New cases of confirmed among health workers,2014-08-27,Dubreka,
1456,Total case of confirmed among health workers,2014-08-27,Dubreka,
1457,New deaths registered among health workers,2014-08-27,Dubreka,
1458,Total deaths registered among health workers,2014-08-27,Dubreka,
1459,New admits to CTE so far,2014-08-27,Dubreka,
1460,Total number of hospitalized cases in CTE,2014-08-27,Dubreka,
1461,Total number of exits from CTE,2014-08-27,Dubreka,
1462,Total number of admissions to CTE,2014-08-27,Dubreka,
1463,New contacts registered so far,2014-08-27,Dubreka,
1464,Total contacts registered from start date,2014-08-27,Dubreka,
1465,Number of contacts to follow today,2014-08-27,Dubreka,
1466,Number of contacts followed today,2014-08-27,Dubreka,
1467,Number of contacts out of the track 21 days,2014-08-27,Dubreka,
1468,Number of contacts lost to follow up,2014-08-27,Dubreka,
1469,Number of samples collected today,2014-08-27,Dubreka,
1470,Number of samples under test,2014-08-27,Dubreka,
1471,Total samples tested,2014-08-27,Dubreka,
1632,New cases of suspects,2014-08-27,Forecariah,
1633,New cases of probables,2014-08-27,Forecariah,
1634,New cases of confirmed,2014-08-27,Forecariah,
1635,Total new cases registered so far,2014-08-27,Forecariah,
1636,Total cases of suspects,2014-08-27,Forecariah,
1637,Total cases of probables,2014-08-27,Forecariah,
1638,Total cases of confirmed,2014-08-27,Forecariah,
1639,Cumulative (confirmed + probable + suspects),2014-08-27,Forecariah,
1640,Total suspected non-class cases,2014-08-27,Forecariah,
1641,New deaths registered,2014-08-27,Forecariah,
1642,Total deaths of suspects,2014-08-27,Forecariah,
1643,Total deaths of probables,2014-08-27,Forecariah,
1644,Total deaths of confirmed,2014-08-27,Forecariah,
1645,Total deaths (confirmed + probables + suspects),2014-08-27,Forecariah,
1646,Fatality rate for confirmed and probables,2014-08-27,Forecariah,
1647,New cases of confirmed among health workers,2014-08-27,Forecariah,
1648,Total case of confirmed among health workers,2014-08-27,Forecariah,
1649,New deaths registered among health workers,2014-08-27,Forecariah,
1650,Total deaths registered among health workers,2014-08-27,Forecariah,
1651,New admits to CTE so far,2014-08-27,Forecariah,
1652,Total number of hospitalized cases in CTE,2014-08-27,Forecariah,
1653,Total number of exits from CTE,2014-08-27,Forecariah,
1654,Total number of admissions to CTE,2014-08-27,Forecariah,
1655,New contacts registered so far,2014-08-27,Forecariah,
1656,Total contacts registered from start date,2014-08-27,Forecariah,
1657,Number of contacts to follow today,2014-08-27,Forecariah,
1658,Number of contacts followed today,2014-08-27,Forecariah,
1659,Number of contacts out of the track 21 days,2014-08-27,Forecariah,
1660,Number of contacts lost to follow up,2014-08-27,Forecariah,
1661,Number of samples collected today,2014-08-27,Forecariah,
1662,Number of samples under test,2014-08-27,Forecariah,
1663,Total samples tested,2014-08-27,Forecariah,
1824,New cases of suspects,2014-08-27,Gueckedou,3
1825,New cases of probables,2014-08-27,Gueckedou,0
1826,New cases of confirmed,2014-08-27,Gueckedou,0
1827,Total new cases registered so far,2014-08-27,Gueckedou,3
1828,Total cases of suspects,2014-08-27,Gueckedou,4
1829,Total cases of probables,2014-08-27,Gueckedou,102
1830,Total cases of confirmed,2014-08-27,Gueckedou,207
1831,Cumulative (confirmed + probable + suspects),2014-08-27,Gueckedou,313
1832,Total suspected non-class cases,2014-08-27,Gueckedou,192
1833,New deaths registered,2014-08-27,Gueckedou,0
1834,Total deaths of suspects,2014-08-27,Gueckedou,0
1835,Total deaths of probables,2014-08-27,Gueckedou,102
1836,Total deaths of confirmed,2014-08-27,Gueckedou,166
1837,Total deaths (confirmed + probables + suspects),2014-08-27,Gueckedou,268
1838,Fatality rate for confirmed and probables,2014-08-27,Gueckedou,86%
1839,New cases of confirmed among health workers,2014-08-27,Gueckedou,0
1840,Total case of confirmed among health workers,2014-08-27,Gueckedou,7
1841,New deaths registered among health workers,2014-08-27,Gueckedou,0
1842,Total deaths registered among health workers,2014-08-27,Gueckedou,5
1843,New admits to CTE so far,2014-08-27,Gueckedou,7
1844,Total number of hospitalized cases in CTE,2014-08-27,Gueckedou,54
1845,Total number of exits from CTE,2014-08-27,Gueckedou,8
1846,Total number of admissions to CTE,2014-08-27,Gueckedou,638
1847,New contacts registered so far,2014-08-27,Gueckedou,86
1848,Total contacts registered from start date,2014-08-27,Gueckedou,3418
1849,Number of contacts to follow today,2014-08-27,Gueckedou,302
1850,Number of contacts followed today,2014-08-27,Gueckedou,300
1851,Number of contacts out of the track 21 days,2014-08-27,Gueckedou,3116
1852,Number of contacts lost to follow up,2014-08-27,Gueckedou,2
1853,Number of samples collected today,2014-08-27,Gueckedou,46
1854,Number of samples under test,2014-08-27,Gueckedou,0
1855,Total samples tested,2014-08-27,Gueckedou,977
2016,New cases of suspects,2014-08-27,Kerouane,
2017,New cases of probables,2014-08-27,Kerouane,
2018,New cases of confirmed,2014-08-27,Kerouane,
2019,Total new cases registered so far,2014-08-27,Kerouane,
2020,Total cases of suspects,2014-08-27,Kerouane,
2021,Total cases of probables,2014-08-27,Kerouane,
2022,Total cases of confirmed,2014-08-27,Kerouane,
2023,Cumulative (confirmed + probable + suspects),2014-08-27,Kerouane,
2024,Total suspected non-class cases,2014-08-27,Kerouane,
2025,New deaths registered,2014-08-27,Kerouane,
2026,Total deaths of suspects,2014-08-27,Kerouane,
2027,Total deaths of probables,2014-08-27,Kerouane,
2028,Total deaths of confirmed,2014-08-27,Kerouane,
2029,Total deaths (confirmed + probables + suspects),2014-08-27,Kerouane,
2030,Fatality rate for confirmed and probables,2014-08-27,Kerouane,
2031,New cases of confirmed among health workers,2014-08-27,Kerouane,
2032,Total case of confirmed among health workers,2014-08-27,Kerouane,
2033,New deaths registered among health workers,2014-08-27,Kerouane,
2034,Total deaths registered among health workers,2014-08-27,Kerouane,
2035,New admits to CTE so far,2014-08-27,Kerouane,
2036,Total number of hospitalized cases in CTE,2014-08-27,Kerouane,
2037,Total number of exits from CTE,2014-08-27,Kerouane,
2038,Total number of admissions to CTE,2014-08-27,Kerouane,
2039,New contacts registered so far,2014-08-27,Kerouane,
2040,Total contacts registered from start date,2014-08-27,Kerouane,
2041,Number of contacts to follow today,2014-08-27,Kerouane,
2042,Number of contacts followed today,2014-08-27,Kerouane,
2043,Number of contacts out of the track 21 days,2014-08-27,Kerouane,
2044,Number of contacts lost to follow up,2014-08-27,Kerouane,
2045,Number of samples collected today,2014-08-27,Kerouane,
2046,Number of samples under test,2014-08-27,Kerouane,
2047,Total samples tested,2014-08-27,Kerouane,
2208,New cases of suspects,2014-08-27,Kindia,
2209,New cases of probables,2014-08-27,Kindia,
2210,New cases of confirmed,2014-08-27,Kindia,
2211,Total new cases registered so far,2014-08-27,Kindia,
2212,Total cases of suspects,2014-08-27,Kindia,
2213,Total cases of probables,2014-08-27,Kindia,
2214,Total cases of confirmed,2014-08-27,Kindia,
2215,Cumulative (confirmed + probable + suspects),2014-08-27,Kindia,
2216,Total suspected non-class cases,2014-08-27,Kindia,
2217,New deaths registered,2014-08-27,Kindia,
2218,Total deaths of suspects,2014-08-27,Kindia,
2219,Total deaths of probables,2014-08-27,Kindia,
2220,Total deaths of confirmed,2014-08-27,Kindia,
2221,Total deaths (confirmed + probables + suspects),2014-08-27,Kindia,
2222,Fatality rate for confirmed and probables,2014-08-27,Kindia,
2223,New cases of confirmed among health workers,2014-08-27,Kindia,
2224,Total case of confirmed among health workers,2014-08-27,Kindia,
2225,New deaths registered among health workers,2014-08-27,Kindia,
2226,Total deaths registered among health workers,2014-08-27,Kindia,
2227,New admits to CTE so far,2014-08-27,Kindia,
2228,Total number of hospitalized cases in CTE,2014-08-27,Kindia,
2229,Total number of exits from CTE,2014-08-27,Kindia,
2230,Total number of admissions to CTE,2014-08-27,Kindia,
2231,New contacts registered so far,2014-08-27,Kindia,
2232,Total contacts registered from start date,2014-08-27,Kindia,
2233,Number of contacts to follow today,2014-08-27,Kindia,
2234,Number of contacts followed today,2014-08-27,Kindia,
2235,Number of contacts out of the track 21 days,2014-08-27,Kindia,
2236,Number of contacts lost to follow up,2014-08-27,Kindia,
2237,Number of samples collected today,2014-08-27,Kindia,
2238,Number of samples under test,2014-08-27,Kindia,
2239,Total samples tested,2014-08-27,Kindia,
2400,New cases of suspects,2014-08-27,Kissidougou,0
2401,New cases of probables,2014-08-27,Kissidougou,0
2402,New cases of confirmed,2014-08-27,Kissidougou,0
2403,Total new cases registered so far,2014-08-27,Kissidougou,0
2404,Total cases of suspects,2014-08-27,Kissidougou,0
2405,Total cases of probables,2014-08-27,Kissidougou,5
2406,Total cases of confirmed,2014-08-27,Kissidougou,2
2407,Cumulative (confirmed + probable + suspects),2014-08-27,Kissidougou,7
2408,Total suspected non-class cases,2014-08-27,Kissidougou,8
2409,New deaths registered,2014-08-27,Kissidougou,0
2410,Total deaths of suspects,2014-08-27,Kissidougou,0
2411,Total deaths of probables,2014-08-27,Kissidougou,5
2412,Total deaths of confirmed,2014-08-27,Kissidougou,1
2413,Total deaths (confirmed + probables + suspects),2014-08-27,Kissidougou,6
2414,Fatality rate for confirmed and probables,2014-08-27,Kissidougou,86%
2415,New cases of confirmed among health workers,2014-08-27,Kissidougou,0
2416,Total case of confirmed among health workers,2014-08-27,Kissidougou,0
2417,New deaths registered among health workers,2014-08-27,Kissidougou,0
2418,Total deaths registered among health workers,2014-08-27,Kissidougou,0
2419,New admits to CTE so far,2014-08-27,Kissidougou,0
2420,Total number of hospitalized cases in CTE,2014-08-27,Kissidougou,0
2421,Total number of exits from CTE,2014-08-27,Kissidougou,0
2422,Total number of admissions to CTE,2014-08-27,Kissidougou,0
2423,New contacts registered so far,2014-08-27,Kissidougou,0
2424,Total contacts registered from start date,2014-08-27,Kissidougou,159
2425,Number of contacts to follow today,2014-08-27,Kissidougou,0
2426,Number of contacts followed today,2014-08-27,Kissidougou,0
2427,Number of contacts out of the track 21 days,2014-08-27,Kissidougou,159
2428,Number of contacts lost to follow up,2014-08-27,Kissidougou,0
2429,Number of samples collected today,2014-08-27,Kissidougou,
2430,Number of samples under test,2014-08-27,Kissidougou,
2431,Total samples tested,2014-08-27,Kissidougou,
2592,New cases of suspects,2014-08-27,Kouroussa,0
2593,New cases of probables,2014-08-27,Kouroussa,0
2594,New cases of confirmed,2014-08-27,Kouroussa,0
2595,Total new cases registered so far,2014-08-27,Kouroussa,0
2596,Total cases of suspects,2014-08-27,Kouroussa,0
2597,Total cases of probables,2014-08-27,Kouroussa,
2598,Total cases of confirmed,2014-08-27,Kouroussa,
2599,Cumulative (confirmed + probable + suspects),2014-08-27,Kouroussa,
2600,Total suspected non-class cases,2014-08-27,Kouroussa,
2601,New deaths registered,2014-08-27,Kouroussa,
2602,Total deaths of suspects,2014-08-27,Kouroussa,
2603,Total deaths of probables,2014-08-27,Kouroussa,
2604,Total deaths of confirmed,2014-08-27,Kouroussa,
2605,Total deaths (confirmed + probables + suspects),2014-08-27,Kouroussa,
2606,Fatality rate for confirmed and probables,2014-08-27,Kouroussa,
2607,New cases of confirmed among health workers,2014-08-27,Kouroussa,
2608,Total case of confirmed among health workers,2014-08-27,Kouroussa,
2609,New deaths registered among health workers,2014-08-27,Kouroussa,
2610,Total deaths registered among health workers,2014-08-27,Kouroussa,
2611,New admits to CTE so far,2014-08-27,Kouroussa,
2612,Total number of hospitalized cases in CTE,2014-08-27,Kouroussa,
2613,Total number of exits from CTE,2014-08-27,Kouroussa,
2614,Total number of admissions to CTE,2014-08-27,Kouroussa,
2615,New contacts registered so far,2014-08-27,Kouroussa,
2616,Total contacts registered from start date,2014-08-27,Kouroussa,
2617,Number of contacts to follow today,2014-08-27,Kouroussa,
2618,Number of contacts followed today,2014-08-27,Kouroussa,
2619,Number of contacts out of the track 21 days,2014-08-27,Kouroussa,
2620,Number of contacts lost to follow up,2014-08-27,Kouroussa,
2621,Number of samples collected today,2014-08-27,Kouroussa,
2622,Number of samples under test,2014-08-27,Kouroussa,
2623,Total samples tested,2014-08-27,Kouroussa,
2784,New cases of suspects,2014-08-27,Lola,
2785,New cases of probables,2014-08-27,Lola,
2786,New cases of confirmed,2014-08-27,Lola,
2787,Total new cases registered so far,2014-08-27,Lola,
2788,Total cases of suspects,2014-08-27,Lola,
2789,Total cases of probables,2014-08-27,Lola,
2790,Total cases of confirmed,2014-08-27,Lola,
2791,Cumulative (confirmed + probable + suspects),2014-08-27,Lola,
2792,Total suspected non-class cases,2014-08-27,Lola,
2793,New deaths registered,2014-08-27,Lola,
2794,Total deaths of suspects,2014-08-27,Lola,
2795,Total deaths of probables,2014-08-27,Lola,
2796,Total deaths of confirmed,2014-08-27,Lola,
2797,Total deaths (confirmed + probables + suspects),2014-08-27,Lola,
2798,Fatality rate for confirmed and probables,2014-08-27,Lola,
2799,New cases of confirmed among health workers,2014-08-27,Lola,
2800,Total case of confirmed among health workers,2014-08-27,Lola,
2801,New deaths registered among health workers,2014-08-27,Lola,
2802,Total deaths registered among health workers,2014-08-27,Lola,
2803,New admits to CTE so far,2014-08-27,Lola,
2804,Total number of hospitalized cases in CTE,2014-08-27,Lola,
2805,Total number of exits from CTE,2014-08-27,Lola,
2806,Total number of admissions to CTE,2014-08-27,Lola,
2807,New contacts registered so far,2014-08-27,Lola,
2808,Total contacts registered from start date,2014-08-27,Lola,
2809,Number of contacts to follow today,2014-08-27,Lola,
2810,Number of contacts followed today,2014-08-27,Lola,
2811,Number of contacts out of the track 21 days,2014-08-27,Lola,
2812,Number of contacts lost to follow up,2014-08-27,Lola,
2813,Number of samples collected today,2014-08-27,Lola,
2814,Number of samples under test,2014-08-27,Lola,
2815,Total samples tested,2014-08-27,Lola,
2976,New cases of suspects,2014-08-27,Macenta,7
2977,New cases of probables,2014-08-27,Macenta,0
2978,New cases of confirmed,2014-08-27,Macenta,5
2979,Total new cases registered so far,2014-08-27,Macenta,12
2980,Total cases of suspects,2014-08-27,Macenta,8
2981,Total cases of probables,2014-08-27,Macenta,11
2982,Total cases of confirmed,2014-08-27,Macenta,103
2983,Cumulative (confirmed + probable + suspects),2014-08-27,Macenta,122
2984,Total suspected non-class cases,2014-08-27,Macenta,63
2985,New deaths registered,2014-08-27,Macenta,2
2986,Total deaths of suspects,2014-08-27,Macenta,0
2987,Total deaths of probables,2014-08-27,Macenta,11
2988,Total deaths of confirmed,2014-08-27,Macenta,53
2989,Total deaths (confirmed + probables + suspects),2014-08-27,Macenta,64
2990,Fatality rate for confirmed and probables,2014-08-27,Macenta,52%
2991,New cases of confirmed among health workers,2014-08-27,Macenta,0
2992,Total case of confirmed among health workers,2014-08-27,Macenta,9
2993,New deaths registered among health workers,2014-08-27,Macenta,0
2994,Total deaths registered among health workers,2014-08-27,Macenta,7
2995,New admits to CTE so far,2014-08-27,Macenta,0
2996,Total number of hospitalized cases in CTE,2014-08-27,Macenta,0
2997,Total number of exits from CTE,2014-08-27,Macenta,0
