,variable,date,Location,Value
6866,contacts_followed,2014-08-12,Bonthe,0
6867,new_contacts,2014-08-12,Bonthe,0
6868,contacts_healthy,2014-08-12,Bonthe,0
6869,contacts_ill,2014-08-12,Bonthe,0
6870,contacts_not_seen,2014-08-12,Bonthe,0
6871,new_completed_contacts,2014-08-12,Bonthe,0
6872,percent_seen,2014-08-12,Bonthe,
8555,population,2014-08-12,Kailahun,465048
8556,new_noncase,2014-08-12,Kailahun,0
8557,new_suspected,2014-08-12,Kailahun,0
8558,new_probable,2014-08-12,Kailahun,0
8559,new_confirmed,2014-08-12,Kailahun,0
8560,cum_noncase,2014-08-12,Kailahun,201
8561,cum_suspected,2014-08-12,Kailahun,0
8562,cum_probable,2014-08-12,Kailahun,32
8563,cum_confirmed,2014-08-12,Kailahun,378
8564,death_suspected,2014-08-12,Kailahun,2
8565,death_probable,2014-08-12,Kailahun,32
8566,death_confirmed,2014-08-12,Kailahun,151
8567,cfr,2014-08-12,Kailahun,39.9
8568,etc_new_admission,2014-08-12,Kailahun,16
8569,etc_currently_admitted,2014-08-12,Kailahun,53
8570,etc_cum_admission,2014-08-12,Kailahun,341
8571,etc_new_deaths,2014-08-12,Kailahun,5
8572,etc_cum_deaths,2014-08-12,Kailahun,104
8573,etc_new_discharges,2014-08-12,Kailahun,7
8574,etc_cum_discharges,2014-08-12,Kailahun,134
8575,cum_contacts,2014-08-12,Kailahun,
8576,cum_completed_contacts,2014-08-12,Kailahun,
8577,contacts_followed,2014-08-12,Kailahun,321
8578,new_contacts,2014-08-12,Kailahun,321
8579,contacts_healthy,2014-08-12,Kailahun,305
8580,contacts_ill,2014-08-12,Kailahun,11
8581,contacts_not_seen,2014-08-12,Kailahun,16
8582,new_completed_contacts,2014-08-12,Kailahun,12
8583,percent_seen,2014-08-12,Kailahun,98%
10266,population,2014-08-12,Kambia,341690
10267,new_noncase,2014-08-12,Kambia,0
10268,new_suspected,2014-08-12,Kambia,0
10269,new_probable,2014-08-12,Kambia,0
10270,new_confirmed,2014-08-12,Kambia,0
10271,cum_noncase,2014-08-12,Kambia,1
10272,cum_suspected,2014-08-12,Kambia,0
10273,cum_probable,2014-08-12,Kambia,0
10274,cum_confirmed,2014-08-12,Kambia,1
10275,death_suspected,2014-08-12,Kambia,0
10276,death_probable,2014-08-12,Kambia,0
10277,death_confirmed,2014-08-12,Kambia,0
10278,cfr,2014-08-12,Kambia,0
10279,etc_new_admission,2014-08-12,Kambia,
10280,etc_currently_admitted,2014-08-12,Kambia,
10281,etc_cum_admission,2014-08-12,Kambia,
10282,etc_new_deaths,2014-08-12,Kambia,
10283,etc_cum_deaths,2014-08-12,Kambia,
10284,etc_new_discharges,2014-08-12,Kambia,
10285,etc_cum_discharges,2014-08-12,Kambia,
10286,cum_contacts,2014-08-12,Kambia,0
10287,cum_completed_contacts,2014-08-12,Kambia,0
10288,contacts_followed,2014-08-12,Kambia,0
10289,new_contacts,2014-08-12,Kambia,0
10290,contacts_healthy,2014-08-12,Kambia,0
10291,contacts_ill,2014-08-12,Kambia,0
10292,contacts_not_seen,2014-08-12,Kambia,0
10293,new_completed_contacts,2014-08-12,Kambia,0
10294,percent_seen,2014-08-12,Kambia,
11977,population,2014-08-12,Kenema,653013
11978,new_noncase,2014-08-12,Kenema,3
11979,new_suspected,2014-08-12,Kenema,9
11980,new_probable,2014-08-12,Kenema,0
11981,new_confirmed,2014-08-12,Kenema,9
11982,cum_noncase,2014-08-12,Kenema,269
11983,cum_suspected,2014-08-12,Kenema,10
11984,cum_probable,2014-08-12,Kenema,0
11985,cum_confirmed,2014-08-12,Kenema,259
11986,death_suspected,2014-08-12,Kenema,1
11987,death_probable,2014-08-12,Kenema,0
11988,death_confirmed,2014-08-12,Kenema,104
11989,cfr,2014-08-12,Kenema,40.2
11990,etc_new_admission,2014-08-12,Kenema,7
11991,etc_currently_admitted,2014-08-12,Kenema,41
11992,etc_cum_admission,2014-08-12,Kenema,303
11993,etc_new_deaths,2014-08-12,Kenema,3
11994,etc_cum_deaths,2014-08-12,Kenema,154
11995,etc_new_discharges,2014-08-12,Kenema,2
11996,etc_cum_discharges,2014-08-12,Kenema,59
11997,cum_contacts,2014-08-12,Kenema,"1,356"
11998,cum_completed_contacts,2014-08-12,Kenema,701
11999,contacts_followed,2014-08-12,Kenema,497
12000,new_contacts,2014-08-12,Kenema,73
12001,contacts_healthy,2014-08-12,Kenema,427
12002,contacts_ill,2014-08-12,Kenema,3
12003,contacts_not_seen,2014-08-12,Kenema,64
12004,new_completed_contacts,2014-08-12,Kenema,38
12005,percent_seen,2014-08-12,Kenema,61%
13688,population,2014-08-12,Kenema (IFRC),
13689,new_noncase,2014-08-12,Kenema (IFRC),
13690,new_suspected,2014-08-12,Kenema (IFRC),
13691,new_probable,2014-08-12,Kenema (IFRC),
13692,new_confirmed,2014-08-12,Kenema (IFRC),
13693,cum_noncase,2014-08-12,Kenema (IFRC),
13694,cum_suspected,2014-08-12,Kenema (IFRC),
13695,cum_probable,2014-08-12,Kenema (IFRC),
13696,cum_confirmed,2014-08-12,Kenema (IFRC),
13697,death_suspected,2014-08-12,Kenema (IFRC),
13698,death_probable,2014-08-12,Kenema (IFRC),
13699,death_confirmed,2014-08-12,Kenema (IFRC),
13700,cfr,2014-08-12,Kenema (IFRC),
13701,etc_new_admission,2014-08-12,Kenema (IFRC),
13702,etc_currently_admitted,2014-08-12,Kenema (IFRC),
13703,etc_cum_admission,2014-08-12,Kenema (IFRC),
13704,etc_new_deaths,2014-08-12,Kenema (IFRC),
13705,etc_cum_deaths,2014-08-12,Kenema (IFRC),
13706,etc_new_discharges,2014-08-12,Kenema (IFRC),
13707,etc_cum_discharges,2014-08-12,Kenema (IFRC),
13708,cum_contacts,2014-08-12,Kenema (IFRC),
13709,cum_completed_contacts,2014-08-12,Kenema (IFRC),
13710,contacts_followed,2014-08-12,Kenema (IFRC),
13711,new_contacts,2014-08-12,Kenema (IFRC),
13712,contacts_healthy,2014-08-12,Kenema (IFRC),
13713,contacts_ill,2014-08-12,Kenema (IFRC),
13714,contacts_not_seen,2014-08-12,Kenema (IFRC),
13715,new_completed_contacts,2014-08-12,Kenema (IFRC),
13716,percent_seen,2014-08-12,Kenema (IFRC),
15399,population,2014-08-12,Koinadugu,335471
15400,new_noncase,2014-08-12,Koinadugu,0
15401,new_suspected,2014-08-12,Koinadugu,0
15402,new_probable,2014-08-12,Koinadugu,0
15403,new_confirmed,2014-08-12,Koinadugu,0
15404,cum_noncase,2014-08-12,Koinadugu,15
15405,cum_suspected,2014-08-12,Koinadugu,0
15406,cum_probable,2014-08-12,Koinadugu,0
15407,cum_confirmed,2014-08-12,Koinadugu,0
15408,death_suspected,2014-08-12,Koinadugu,0
15409,death_probable,2014-08-12,Koinadugu,0
15410,death_confirmed,2014-08-12,Koinadugu,0
15411,cfr,2014-08-12,Koinadugu,0
15412,etc_new_admission,2014-08-12,Koinadugu,
15413,etc_currently_admitted,2014-08-12,Koinadugu,
15414,etc_cum_admission,2014-08-12,Koinadugu,
15415,etc_new_deaths,2014-08-12,Koinadugu,
15416,etc_cum_deaths,2014-08-12,Koinadugu,
15417,etc_new_discharges,2014-08-12,Koinadugu,
15418,etc_cum_discharges,2014-08-12,Koinadugu,
15419,cum_contacts,2014-08-12,Koinadugu,0
15420,cum_completed_contacts,2014-08-12,Koinadugu,0
15421,contacts_followed,2014-08-12,Koinadugu,0
15422,new_contacts,2014-08-12,Koinadugu,0
15423,contacts_healthy,2014-08-12,Koinadugu,0
15424,contacts_ill,2014-08-12,Koinadugu,0
15425,contacts_not_seen,2014-08-12,Koinadugu,0
15426,new_completed_contacts,2014-08-12,Koinadugu,0
15427,percent_seen,2014-08-12,Koinadugu,
17110,population,2014-08-12,Kono,325003
17111,new_noncase,2014-08-12,Kono,0
17112,new_suspected,2014-08-12,Kono,0
17113,new_probable,2014-08-12,Kono,0
17114,new_confirmed,2014-08-12,Kono,0
17115,cum_noncase,2014-08-12,Kono,15
17116,cum_suspected,2014-08-12,Kono,33
17117,cum_probable,2014-08-12,Kono,1
17118,cum_confirmed,2014-08-12,Kono,1
17119,death_suspected,2014-08-12,Kono,0
17120,death_probable,2014-08-12,Kono,0
17121,death_confirmed,2014-08-12,Kono,0
17122,cfr,2014-08-12,Kono,0
17123,etc_new_admission,2014-08-12,Kono,
17124,etc_currently_admitted,2014-08-12,Kono,
17125,etc_cum_admission,2014-08-12,Kono,
17126,etc_new_deaths,2014-08-12,Kono,
17127,etc_cum_deaths,2014-08-12,Kono,
17128,etc_new_discharges,2014-08-12,Kono,
17129,etc_cum_discharges,2014-08-12,Kono,
17130,cum_contacts,2014-08-12,Kono,38
17131,cum_completed_contacts,2014-08-12,Kono,38
17132,contacts_followed,2014-08-12,Kono,0
17133,new_contacts,2014-08-12,Kono,0
17134,contacts_healthy,2014-08-12,Kono,0
17135,contacts_ill,2014-08-12,Kono,0
17136,contacts_not_seen,2014-08-12,Kono,0
17137,new_completed_contacts,2014-08-12,Kono,0
17138,percent_seen,2014-08-12,Kono,
18821,population,2014-08-12,Moyamba,278119
18822,new_noncase,2014-08-12,Moyamba,0
18823,new_suspected,2014-08-12,Moyamba,0
18824,new_probable,2014-08-12,Moyamba,0
18825,new_confirmed,2014-08-12,Moyamba,0
18826,cum_noncase,2014-08-12,Moyamba,12
18827,cum_suspected,2014-08-12,Moyamba,0
18828,cum_probable,2014-08-12,Moyamba,0
18829,cum_confirmed,2014-08-12,Moyamba,5
18830,death_suspected,2014-08-12,Moyamba,0
18831,death_probable,2014-08-12,Moyamba,0
18832,death_confirmed,2014-08-12,Moyamba,3
18833,cfr,2014-08-12,Moyamba,60
18834,etc_new_admission,2014-08-12,Moyamba,
18835,etc_currently_admitted,2014-08-12,Moyamba,
18836,etc_cum_admission,2014-08-12,Moyamba,
18837,etc_new_deaths,2014-08-12,Moyamba,
18838,etc_cum_deaths,2014-08-12,Moyamba,
18839,etc_new_discharges,2014-08-12,Moyamba,
18840,etc_cum_discharges,2014-08-12,Moyamba,
18841,cum_contacts,2014-08-12,Moyamba,73
18842,cum_completed_contacts,2014-08-12,Moyamba,0
18843,contacts_followed,2014-08-12,Moyamba,73
18844,new_contacts,2014-08-12,Moyamba,0
18845,contacts_healthy,2014-08-12,Moyamba,73
18846,contacts_ill,2014-08-12,Moyamba,0
18847,contacts_not_seen,2014-08-12,Moyamba,0
18848,new_completed_contacts,2014-08-12,Moyamba,0
18849,percent_seen,2014-08-12,Moyamba,100%
20532,population,2014-08-12,National,6348350
20533,new_noncase,2014-08-12,National,4
20534,new_suspected,2014-08-12,National,10
20535,new_probable,2014-08-12,National,1
20536,new_confirmed,2014-08-12,National,11
20537,cum_noncase,2014-08-12,National,657
20538,cum_suspected,2014-08-12,National,46
20539,cum_probable,2014-08-12,National,37
20540,cum_confirmed,2014-08-12,National,717
20541,death_suspected,2014-08-12,National,5
20542,death_probable,2014-08-12,National,34
20543,death_confirmed,2014-08-12,National,264
20544,cfr,2014-08-12,National,36.8
20545,etc_new_admission,2014-08-12,National,
20546,etc_currently_admitted,2014-08-12,National,
20547,etc_cum_admission,2014-08-12,National,
20548,etc_new_deaths,2014-08-12,National,
20549,etc_cum_deaths,2014-08-12,National,
20550,etc_new_discharges,2014-08-12,National,
20551,etc_cum_discharges,2014-08-12,National,
20552,cum_contacts,2014-08-12,National,2838
20553,cum_completed_contacts,2014-08-12,National,901
20554,contacts_followed,2014-08-12,National,2255
20555,new_contacts,2014-08-12,National,743
20556,contacts_healthy,2014-08-12,National,1937
20557,contacts_ill,2014-08-12,National,14
20558,contacts_not_seen,2014-08-12,National,131
20559,new_completed_contacts,2014-08-12,National,73
20560,percent_seen,2014-08-12,National,87%
22243,population,2014-08-12,Police training School,
22244,new_noncase,2014-08-12,Police training School,
22245,new_suspected,2014-08-12,Police training School,
22246,new_probable,2014-08-12,Police training School,
22247,new_confirmed,2014-08-12,Police training School,
22248,cum_noncase,2014-08-12,Police training School,
22249,cum_suspected,2014-08-12,Police training School,
22250,cum_probable,2014-08-12,Police training School,
22251,cum_confirmed,2014-08-12,Police training School,
22252,death_suspected,2014-08-12,Police training School,
22253,death_probable,2014-08-12,Police training School,
22254,death_confirmed,2014-08-12,Police training School,
22255,cfr,2014-08-12,Police training School,
22256,etc_new_admission,2014-08-12,Police training School,
22257,etc_currently_admitted,2014-08-12,Police training School,
22258,etc_cum_admission,2014-08-12,Police training School,
22259,etc_new_deaths,2014-08-12,Police training School,
22260,etc_cum_deaths,2014-08-12,Police training School,
22261,etc_new_discharges,2014-08-12,Police training School,
22262,etc_cum_discharges,2014-08-12,Police training School,
22263,cum_contacts,2014-08-12,Police training School,
22264,cum_completed_contacts,2014-08-12,Police training School,
22265,contacts_followed,2014-08-12,Police training School,
22266,new_contacts,2014-08-12,Police training School,
22267,contacts_healthy,2014-08-12,Police training School,
22268,contacts_ill,2014-08-12,Police training School,
22269,contacts_not_seen,2014-08-12,Police training School,
22270,new_completed_contacts,2014-08-12,Police training School,
22271,percent_seen,2014-08-12,Police training School,
23954,population,2014-08-12,Police traning School,
23955,new_noncase,2014-08-12,Police traning School,
23956,new_suspected,2014-08-12,Police traning School,
23957,new_probable,2014-08-12,Police traning School,
23958,new_confirmed,2014-08-12,Police traning School,
23959,cum_noncase,2014-08-12,Police traning School,
23960,cum_suspected,2014-08-12,Police traning School,
23961,cum_probable,2014-08-12,Police traning School,
23962,cum_confirmed,2014-08-12,Police traning School,
23963,death_suspected,2014-08-12,Police traning School,
23964,death_probable,2014-08-12,Police traning School,
23965,death_confirmed,2014-08-12,Police traning School,
23966,cfr,2014-08-12,Police traning School,
23967,etc_new_admission,2014-08-12,Police traning School,
23968,etc_currently_admitted,2014-08-12,Police traning School,
23969,etc_cum_admission,2014-08-12,Police traning School,
23970,etc_new_deaths,2014-08-12,Police traning School,
23971,etc_cum_deaths,2014-08-12,Police traning School,
23972,etc_new_discharges,2014-08-12,Police traning School,
23973,etc_cum_discharges,2014-08-12,Police traning School,
23974,cum_contacts,2014-08-12,Police traning School,
23975,cum_completed_contacts,2014-08-12,Police traning School,
23976,contacts_followed,2014-08-12,Police traning School,
23977,new_contacts,2014-08-12,Police traning School,
23978,contacts_healthy,2014-08-12,Police traning School,
23979,contacts_ill,2014-08-12,Police traning School,
23980,contacts_not_seen,2014-08-12,Police traning School,
23981,new_completed_contacts,2014-08-12,Police traning School,
23982,percent_seen,2014-08-12,Police traning School,
25665,population,2014-08-12,Port Loko,557978
25666,new_noncase,2014-08-12,Port Loko,1
25667,new_suspected,2014-08-12,Port Loko,0
25668,new_probable,2014-08-12,Port Loko,0
25669,new_confirmed,2014-08-12,Port Loko,2
25670,cum_noncase,2014-08-12,Port Loko,7
25671,cum_suspected,2014-08-12,Port Loko,0
25672,cum_probable,2014-08-12,Port Loko,1
25673,cum_confirmed,2014-08-12,Port Loko,24
25674,death_suspected,2014-08-12,Port Loko,1
25675,death_probable,2014-08-12,Port Loko,1
25676,death_confirmed,2014-08-12,Port Loko,1
25677,cfr,2014-08-12,Port Loko,4.2
25678,etc_new_admission,2014-08-12,Port Loko,
25679,etc_currently_admitted,2014-08-12,Port Loko,
25680,etc_cum_admission,2014-08-12,Port Loko,
25681,etc_new_deaths,2014-08-12,Port Loko,
25682,etc_cum_deaths,2014-08-12,Port Loko,
25683,etc_new_discharges,2014-08-12,Port Loko,
25684,etc_cum_discharges,2014-08-12,Port Loko,
25685,cum_contacts,2014-08-12,Port Loko,471
25686,cum_completed_contacts,2014-08-12,Port Loko,7
25687,contacts_followed,2014-08-12,Port Loko,466
25688,new_contacts,2014-08-12,Port Loko,308
25689,contacts_healthy,2014-08-12,Port Loko,443
25690,contacts_ill,2014-08-12,Port Loko,0
25691,contacts_not_seen,2014-08-12,Port Loko,28
25692,new_completed_contacts,2014-08-12,Port Loko,0
25693,percent_seen,2014-08-12,Port Loko,95%
27376,population,2014-08-12,Pujehun,335574
27377,new_noncase,2014-08-12,Pujehun,0
27378,new_suspected,2014-08-12,Pujehun,0
27379,new_probable,2014-08-12,Pujehun,0
27380,new_confirmed,2014-08-12,Pujehun,0
27381,cum_noncase,2014-08-12,Pujehun,2
27382,cum_suspected,2014-08-12,Pujehun,0
27383,cum_probable,2014-08-12,Pujehun,0
27384,cum_confirmed,2014-08-12,Pujehun,3
27385,death_suspected,2014-08-12,Pujehun,0
27386,death_probable,2014-08-12,Pujehun,0
27387,death_confirmed,2014-08-12,Pujehun,0
27388,cfr,2014-08-12,Pujehun,0
27389,etc_new_admission,2014-08-12,Pujehun,
27390,etc_currently_admitted,2014-08-12,Pujehun,
27391,etc_cum_admission,2014-08-12,Pujehun,
27392,etc_new_deaths,2014-08-12,Pujehun,
27393,etc_cum_deaths,2014-08-12,Pujehun,
27394,etc_new_discharges,2014-08-12,Pujehun,
27395,etc_cum_discharges,2014-08-12,Pujehun,
27396,cum_contacts,2014-08-12,Pujehun,57
27397,cum_completed_contacts,2014-08-12,Pujehun,10
27398,contacts_followed,2014-08-12,Pujehun,47
27399,new_contacts,2014-08-12,Pujehun,0
27400,contacts_healthy,2014-08-12,Pujehun,47
27401,contacts_ill,2014-08-12,Pujehun,0
27402,contacts_not_seen,2014-08-12,Pujehun,0
27403,new_completed_contacts,2014-08-12,Pujehun,1
27404,percent_seen,2014-08-12,Pujehun,100%
29087,population,2014-08-12,Tonkolili,434937
29088,new_noncase,2014-08-12,Tonkolili,0
29089,new_suspected,2014-08-12,Tonkolili,0
29090,new_probable,2014-08-12,Tonkolili,0
29091,new_confirmed,2014-08-12,Tonkolili,0
29092,cum_noncase,2014-08-12,Tonkolili,10
29093,cum_suspected,2014-08-12,Tonkolili,0
29094,cum_probable,2014-08-12,Tonkolili,0
29095,cum_confirmed,2014-08-12,Tonkolili,2
29096,death_suspected,2014-08-12,Tonkolili,0
29097,death_probable,2014-08-12,Tonkolili,0
29098,death_confirmed,2014-08-12,Tonkolili,0
29099,cfr,2014-08-12,Tonkolili,0
29100,etc_new_admission,2014-08-12,Tonkolili,
29101,etc_currently_admitted,2014-08-12,Tonkolili,
29102,etc_cum_admission,2014-08-12,Tonkolili,
29103,etc_new_deaths,2014-08-12,Tonkolili,
29104,etc_cum_deaths,2014-08-12,Tonkolili,
29105,etc_new_discharges,2014-08-12,Tonkolili,
29106,etc_cum_discharges,2014-08-12,Tonkolili,
29107,cum_contacts,2014-08-12,Tonkolili,16
29108,cum_completed_contacts,2014-08-12,Tonkolili,0
29109,contacts_followed,2014-08-12,Tonkolili,11
29110,new_contacts,2014-08-12,Tonkolili,5
29111,contacts_healthy,2014-08-12,Tonkolili,11
29112,contacts_ill,2014-08-12,Tonkolili,0
29113,contacts_not_seen,2014-08-12,Tonkolili,0
29114,new_completed_contacts,2014-08-12,Tonkolili,0
29115,percent_seen,2014-08-12,Tonkolili,100%
30798,population,2014-08-12,Western area,
30799,new_noncase,2014-08-12,Western area,
30800,new_suspected,2014-08-12,Western area,
30801,new_probable,2014-08-12,Western area,
30802,new_confirmed,2014-08-12,Western area,
30803,cum_noncase,2014-08-12,Western area,
30804,cum_suspected,2014-08-12,Western area,
30805,cum_probable,2014-08-12,Western area,
30806,cum_confirmed,2014-08-12,Western area,
30807,death_suspected,2014-08-12,Western area,
30808,death_probable,2014-08-12,Western area,
30809,death_confirmed,2014-08-12,Western area,
30810,cfr,2014-08-12,Western area,
30811,etc_new_admission,2014-08-12,Western area,
30812,etc_currently_admitted,2014-08-12,Western area,
30813,etc_cum_admission,2014-08-12,Western area,
30814,etc_new_deaths,2014-08-12,Western area,
30815,etc_cum_deaths,2014-08-12,Western area,
30816,etc_new_discharges,2014-08-12,Western area,
30817,etc_cum_discharges,2014-08-12,Western area,
30818,cum_contacts,2014-08-12,Western area,
30819,cum_completed_contacts,2014-08-12,Western area,
30820,contacts_followed,2014-08-12,Western area,
30821,new_contacts,2014-08-12,Western area,
30822,contacts_healthy,2014-08-12,Western area,
30823,contacts_ill,2014-08-12,Western area,
30824,contacts_not_seen,2014-08-12,Western area,
30825,new_completed_contacts,2014-08-12,Western area,
30826,percent_seen,2014-08-12,Western area,
32509,population,2014-08-12,Western area rural,263619
32510,new_noncase,2014-08-12,Western area rural,0
32511,new_suspected,2014-08-12,Western area rural,0
32512,new_probable,2014-08-12,Western area rural,0
32513,new_confirmed,2014-08-12,Western area rural,0
32514,cum_noncase,2014-08-12,Western area rural,5
32515,cum_suspected,2014-08-12,Western area rural,0
32516,cum_probable,2014-08-12,Western area rural,0
32517,cum_confirmed,2014-08-12,Western area rural,1
32518,death_suspected,2014-08-12,Western area rural,0
32519,death_probable,2014-08-12,Western area rural,0
32520,death_confirmed,2014-08-12,Western area rural,0
32521,cfr,2014-08-12,Western area rural,0
32522,etc_new_admission,2014-08-12,Western area rural,
32523,etc_currently_admitted,2014-08-12,Western area rural,
32524,etc_cum_admission,2014-08-12,Western area rural,
32525,etc_new_deaths,2014-08-12,Western area rural,
