,Variable,Date,Location,Value
5063,Total specimens tested,09/23/2014,Gbarpolu County,
5064,Newly reported deaths,09/23/2014,Gbarpolu County,0.0
5065,Total death/s in confirmed cases,09/23/2014,Gbarpolu County,0.0
5066,Total death/s in probable cases,09/23/2014,Gbarpolu County,0.0
5067,Total death/s in suspected cases,09/23/2014,Gbarpolu County,0.0
5068,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Gbarpolu County,0.0
5069,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Gbarpolu County,
5070,Newly reported contacts,09/23/2014,Gbarpolu County,0.0
5071,Total contacts listed,09/23/2014,Gbarpolu County,0.0
5072,Currently under follow-up,09/23/2014,Gbarpolu County,0.0
5073,Contacts seen,09/23/2014,Gbarpolu County,0.0
5074,Contacts who completed 21 day follow-up,09/23/2014,Gbarpolu County,0.0
5075,Contacts lost to follow-up,09/23/2014,Gbarpolu County,0.0
5076,New admissions,09/23/2014,Gbarpolu County,0.0
5077,Total no. currently in Treatment Units,09/23/2014,Gbarpolu County,0.0
5078,Total discharges,09/23/2014,Gbarpolu County,0.0
5079,Cumulative admission/isolation,09/23/2014,Gbarpolu County,0.0
5080,Newly Reported Cases in HCW,09/23/2014,Gbarpolu County,0.0
5081,Cumulative cases among HCW,09/23/2014,Gbarpolu County,0.0
5082,Newly Reported deaths in HCW,09/23/2014,Gbarpolu County,0.0
5083,Cumulative deaths among HCW,09/23/2014,Gbarpolu County,0.0
5084,New Case/s (Suspected),09/23/2014,Gbarpolu County,0.0
5085,New Case/s (Probable),09/23/2014,Gbarpolu County,0.0
5086,New case/s (confirmed),09/23/2014,Gbarpolu County,0.0
5087,Total suspected cases,09/23/2014,Gbarpolu County,1.0
5088,Total probable cases,09/23/2014,Gbarpolu County,0.0
5089,Total confirmed cases,09/23/2014,Gbarpolu County,0.0
5090,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Gbarpolu County,0.0
5091,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Gbarpolu County,0.0
6894,Specimens collected,09/23/2014,Grand Bassa,
6895,Specimens pending for testing,09/23/2014,Grand Bassa,
6896,Total specimens tested,09/23/2014,Grand Bassa,
6897,Newly reported deaths,09/23/2014,Grand Bassa,0.0
6898,Total death/s in confirmed cases,09/23/2014,Grand Bassa,17.0
6899,Total death/s in probable cases,09/23/2014,Grand Bassa,7.0
6900,Total death/s in suspected cases,09/23/2014,Grand Bassa,6.0
6901,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Bassa,30.0
6902,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Bassa,
6903,Newly reported contacts,09/23/2014,Grand Bassa,0.0
6904,Total contacts listed,09/23/2014,Grand Bassa,251.0
6905,Currently under follow-up,09/23/2014,Grand Bassa,148.0
6906,Contacts seen,09/23/2014,Grand Bassa,148.0
6907,Contacts who completed 21 day follow-up,09/23/2014,Grand Bassa,0.0
6908,Contacts lost to follow-up,09/23/2014,Grand Bassa,0.0
6909,New admissions,09/23/2014,Grand Bassa,0.0
6910,Total no. currently in Treatment Units,09/23/2014,Grand Bassa,0.0
6911,Total discharges,09/23/2014,Grand Bassa,0.0
6912,Cumulative admission/isolation,09/23/2014,Grand Bassa,0.0
6913,Newly Reported Cases in HCW,09/23/2014,Grand Bassa,0.0
6914,Cumulative cases among HCW,09/23/2014,Grand Bassa,3.0
6915,Newly Reported deaths in HCW,09/23/2014,Grand Bassa,0.0
6916,Cumulative deaths among HCW,09/23/2014,Grand Bassa,1.0
6917,New Case/s (Suspected),09/23/2014,Grand Bassa,0.0
6918,New Case/s (Probable),09/23/2014,Grand Bassa,0.0
6919,New case/s (confirmed),09/23/2014,Grand Bassa,1.0
6920,Total suspected cases,09/23/2014,Grand Bassa,29.0
6921,Total probable cases,09/23/2014,Grand Bassa,37.0
6922,Total confirmed cases,09/23/2014,Grand Bassa,44.0
6923,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Bassa,0.0
6924,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Bassa,0.0
8727,Specimens collected,09/23/2014,Grand Cape Mount,
8728,Specimens pending for testing,09/23/2014,Grand Cape Mount,
8729,Total specimens tested,09/23/2014,Grand Cape Mount,
8730,Newly reported deaths,09/23/2014,Grand Cape Mount,0.0
8731,Total death/s in confirmed cases,09/23/2014,Grand Cape Mount,6.0
8732,Total death/s in probable cases,09/23/2014,Grand Cape Mount,3.0
8733,Total death/s in suspected cases,09/23/2014,Grand Cape Mount,5.0
8734,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Cape Mount,14.0
8735,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Cape Mount,
8736,Newly reported contacts,09/23/2014,Grand Cape Mount,0.0
8737,Total contacts listed,09/23/2014,Grand Cape Mount,80.0
8738,Currently under follow-up,09/23/2014,Grand Cape Mount,77.0
8739,Contacts seen,09/23/2014,Grand Cape Mount,0.0
8740,Contacts who completed 21 day follow-up,09/23/2014,Grand Cape Mount,0.0
8741,Contacts lost to follow-up,09/23/2014,Grand Cape Mount,0.0
8742,New admissions,09/23/2014,Grand Cape Mount,0.0
8743,Total no. currently in Treatment Units,09/23/2014,Grand Cape Mount,0.0
8744,Total discharges,09/23/2014,Grand Cape Mount,0.0
8745,Cumulative admission/isolation,09/23/2014,Grand Cape Mount,0.0
8746,Newly Reported Cases in HCW,09/23/2014,Grand Cape Mount,0.0
8747,Cumulative cases among HCW,09/23/2014,Grand Cape Mount,3.0
8748,Newly Reported deaths in HCW,09/23/2014,Grand Cape Mount,0.0
8749,Cumulative deaths among HCW,09/23/2014,Grand Cape Mount,0.0
8750,New Case/s (Suspected),09/23/2014,Grand Cape Mount,0.0
8751,New Case/s (Probable),09/23/2014,Grand Cape Mount,0.0
8752,New case/s (confirmed),09/23/2014,Grand Cape Mount,0.0
8753,Total suspected cases,09/23/2014,Grand Cape Mount,6.0
8754,Total probable cases,09/23/2014,Grand Cape Mount,5.0
8755,Total confirmed cases,09/23/2014,Grand Cape Mount,6.0
8756,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Cape Mount,1.0
8757,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Cape Mount,0.0
10560,Specimens collected,09/23/2014,Grand Gedeh,
10561,Specimens pending for testing,09/23/2014,Grand Gedeh,
10562,Total specimens tested,09/23/2014,Grand Gedeh,
10563,Newly reported deaths,09/23/2014,Grand Gedeh,0.0
10564,Total death/s in confirmed cases,09/23/2014,Grand Gedeh,0.0
10565,Total death/s in probable cases,09/23/2014,Grand Gedeh,0.0
10566,Total death/s in suspected cases,09/23/2014,Grand Gedeh,2.0
10567,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Gedeh,2.0
10568,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Gedeh,
10569,Newly reported contacts,09/23/2014,Grand Gedeh,0.0
10570,Total contacts listed,09/23/2014,Grand Gedeh,0.0
10571,Currently under follow-up,09/23/2014,Grand Gedeh,0.0
10572,Contacts seen,09/23/2014,Grand Gedeh,0.0
10573,Contacts who completed 21 day follow-up,09/23/2014,Grand Gedeh,0.0
10574,Contacts lost to follow-up,09/23/2014,Grand Gedeh,0.0
10575,New admissions,09/23/2014,Grand Gedeh,0.0
10576,Total no. currently in Treatment Units,09/23/2014,Grand Gedeh,0.0
10577,Total discharges,09/23/2014,Grand Gedeh,0.0
10578,Cumulative admission/isolation,09/23/2014,Grand Gedeh,0.0
10579,Newly Reported Cases in HCW,09/23/2014,Grand Gedeh,0.0
10580,Cumulative cases among HCW,09/23/2014,Grand Gedeh,0.0
10581,Newly Reported deaths in HCW,09/23/2014,Grand Gedeh,0.0
10582,Cumulative deaths among HCW,09/23/2014,Grand Gedeh,0.0
10583,New Case/s (Suspected),09/23/2014,Grand Gedeh,0.0
10584,New Case/s (Probable),09/23/2014,Grand Gedeh,0.0
10585,New case/s (confirmed),09/23/2014,Grand Gedeh,0.0
10586,Total suspected cases,09/23/2014,Grand Gedeh,3.0
10587,Total probable cases,09/23/2014,Grand Gedeh,0.0
10588,Total confirmed cases,09/23/2014,Grand Gedeh,0.0
10589,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Gedeh,0.0
10590,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Gedeh,0.0
12393,Specimens collected,09/23/2014,Grand Kru,
12394,Specimens pending for testing,09/23/2014,Grand Kru,
12395,Total specimens tested,09/23/2014,Grand Kru,
12396,Newly reported deaths,09/23/2014,Grand Kru,1.0
12397,Total death/s in confirmed cases,09/23/2014,Grand Kru,4.0
12398,Total death/s in probable cases,09/23/2014,Grand Kru,3.0
12399,Total death/s in suspected cases,09/23/2014,Grand Kru,1.0
12400,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Grand Kru,8.0
12401,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Grand Kru,
12402,Newly reported contacts,09/23/2014,Grand Kru,0.0
12403,Total contacts listed,09/23/2014,Grand Kru,24.0
12404,Currently under follow-up,09/23/2014,Grand Kru,24.0
12405,Contacts seen,09/23/2014,Grand Kru,0.0
12406,Contacts who completed 21 day follow-up,09/23/2014,Grand Kru,0.0
12407,Contacts lost to follow-up,09/23/2014,Grand Kru,0.0
12408,New admissions,09/23/2014,Grand Kru,0.0
12409,Total no. currently in Treatment Units,09/23/2014,Grand Kru,0.0
12410,Total discharges,09/23/2014,Grand Kru,0.0
12411,Cumulative admission/isolation,09/23/2014,Grand Kru,0.0
12412,Newly Reported Cases in HCW,09/23/2014,Grand Kru,0.0
12413,Cumulative cases among HCW,09/23/2014,Grand Kru,0.0
12414,Newly Reported deaths in HCW,09/23/2014,Grand Kru,0.0
12415,Cumulative deaths among HCW,09/23/2014,Grand Kru,0.0
12416,New Case/s (Suspected),09/23/2014,Grand Kru,1.0
12417,New Case/s (Probable),09/23/2014,Grand Kru,0.0
12418,New case/s (confirmed),09/23/2014,Grand Kru,0.0
12419,Total suspected cases,09/23/2014,Grand Kru,3.0
12420,Total probable cases,09/23/2014,Grand Kru,6.0
12421,Total confirmed cases,09/23/2014,Grand Kru,6.0
12422,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Grand Kru,0.0
12423,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Grand Kru,0.0
14226,Specimens collected,09/23/2014,Lofa County,
14227,Specimens pending for testing,09/23/2014,Lofa County,
14228,Total specimens tested,09/23/2014,Lofa County,
14229,Newly reported deaths,09/23/2014,Lofa County,4.0
14230,Total death/s in confirmed cases,09/23/2014,Lofa County,181.0
14231,Total death/s in probable cases,09/23/2014,Lofa County,195.0
14232,Total death/s in suspected cases,09/23/2014,Lofa County,38.0
14233,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Lofa County,414.0
14234,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Lofa County,
14235,Newly reported contacts,09/23/2014,Lofa County,34.0
14236,Total contacts listed,09/23/2014,Lofa County,626.0
14237,Currently under follow-up,09/23/2014,Lofa County,295.0
14238,Contacts seen,09/23/2014,Lofa County,295.0
14239,Contacts who completed 21 day follow-up,09/23/2014,Lofa County,11.0
14240,Contacts lost to follow-up,09/23/2014,Lofa County,0.0
14241,New admissions,09/23/2014,Lofa County,4.0
14242,Total no. currently in Treatment Units,09/23/2014,Lofa County,24.0
14243,Total discharges,09/23/2014,Lofa County,4.0
14244,Cumulative admission/isolation,09/23/2014,Lofa County,24.0
14245,Newly Reported Cases in HCW,09/23/2014,Lofa County,0.0
14246,Cumulative cases among HCW,09/23/2014,Lofa County,21.0
14247,Newly Reported deaths in HCW,09/23/2014,Lofa County,0.0
14248,Cumulative deaths among HCW,09/23/2014,Lofa County,17.0
14249,New Case/s (Suspected),09/23/2014,Lofa County,0.0
14250,New Case/s (Probable),09/23/2014,Lofa County,4.0
14251,New case/s (confirmed),09/23/2014,Lofa County,2.0
14252,Total suspected cases,09/23/2014,Lofa County,57.0
14253,Total probable cases,09/23/2014,Lofa County,435.0
14254,Total confirmed cases,09/23/2014,Lofa County,277.0
14255,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Lofa County,11.0
14256,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Lofa County,0.0
16059,Specimens collected,09/23/2014,Margibi County,
16060,Specimens pending for testing,09/23/2014,Margibi County,
16061,Total specimens tested,09/23/2014,Margibi County,
16062,Newly reported deaths,09/23/2014,Margibi County,3.0
16063,Total death/s in confirmed cases,09/23/2014,Margibi County,39.0
16064,Total death/s in probable cases,09/23/2014,Margibi County,114.0
16065,Total death/s in suspected cases,09/23/2014,Margibi County,71.0
16066,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Margibi County,224.0
16067,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Margibi County,
16068,Newly reported contacts,09/23/2014,Margibi County,47.0
16069,Total contacts listed,09/23/2014,Margibi County,1806.0
16070,Currently under follow-up,09/23/2014,Margibi County,1796.0
16071,Contacts seen,09/23/2014,Margibi County,0.0
16072,Contacts who completed 21 day follow-up,09/23/2014,Margibi County,0.0
16073,Contacts lost to follow-up,09/23/2014,Margibi County,0.0
16074,New admissions,09/23/2014,Margibi County,0.0
16075,Total no. currently in Treatment Units,09/23/2014,Margibi County,0.0
16076,Total discharges,09/23/2014,Margibi County,0.0
16077,Cumulative admission/isolation,09/23/2014,Margibi County,0.0
16078,Newly Reported Cases in HCW,09/23/2014,Margibi County,0.0
16079,Cumulative cases among HCW,09/23/2014,Margibi County,42.0
16080,Newly Reported deaths in HCW,09/23/2014,Margibi County,0.0
16081,Cumulative deaths among HCW,09/23/2014,Margibi County,20.0
16082,New Case/s (Suspected),09/23/2014,Margibi County,15.0
16083,New Case/s (Probable),09/23/2014,Margibi County,1.0
16084,New case/s (confirmed),09/23/2014,Margibi County,0.0
16085,Total suspected cases,09/23/2014,Margibi County,251.0
16086,Total probable cases,09/23/2014,Margibi County,277.0
16087,Total confirmed cases,09/23/2014,Margibi County,39.0
16088,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Margibi County,1.0
16089,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Margibi County,0.0
17892,Specimens collected,09/23/2014,Maryland County,
17893,Specimens pending for testing,09/23/2014,Maryland County,
17894,Total specimens tested,09/23/2014,Maryland County,
17895,Newly reported deaths,09/23/2014,Maryland County,0.0
17896,Total death/s in confirmed cases,09/23/2014,Maryland County,0.0
17897,Total death/s in probable cases,09/23/2014,Maryland County,5.0
17898,Total death/s in suspected cases,09/23/2014,Maryland County,3.0
17899,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Maryland County,8.0
17900,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Maryland County,
17901,Newly reported contacts,09/23/2014,Maryland County,0.0
17902,Total contacts listed,09/23/2014,Maryland County,6.0
17903,Currently under follow-up,09/23/2014,Maryland County,6.0
17904,Contacts seen,09/23/2014,Maryland County,0.0
17905,Contacts who completed 21 day follow-up,09/23/2014,Maryland County,0.0
17906,Contacts lost to follow-up,09/23/2014,Maryland County,0.0
17907,New admissions,09/23/2014,Maryland County,0.0
17908,Total no. currently in Treatment Units,09/23/2014,Maryland County,0.0
17909,Total discharges,09/23/2014,Maryland County,0.0
17910,Cumulative admission/isolation,09/23/2014,Maryland County,0.0
17911,Newly Reported Cases in HCW,09/23/2014,Maryland County,0.0
17912,Cumulative cases among HCW,09/23/2014,Maryland County,0.0
17913,Newly Reported deaths in HCW,09/23/2014,Maryland County,0.0
17914,Cumulative deaths among HCW,09/23/2014,Maryland County,0.0
17915,New Case/s (Suspected),09/23/2014,Maryland County,0.0
17916,New Case/s (Probable),09/23/2014,Maryland County,0.0
17917,New case/s (confirmed),09/23/2014,Maryland County,0.0
17918,Total suspected cases,09/23/2014,Maryland County,3.0
17919,Total probable cases,09/23/2014,Maryland County,5.0
17920,Total confirmed cases,09/23/2014,Maryland County,0.0
17921,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Maryland County,0.0
17922,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Maryland County,0.0
19725,Specimens collected,09/23/2014,Montserrado County,
19726,Specimens pending for testing,09/23/2014,Montserrado County,
19727,Total specimens tested,09/23/2014,Montserrado County,
19728,Newly reported deaths,09/23/2014,Montserrado County,31.0
19729,Total death/s in confirmed cases,09/23/2014,Montserrado County,446.0
19730,Total death/s in probable cases,09/23/2014,Montserrado County,174.0
19731,Total death/s in suspected cases,09/23/2014,Montserrado County,204.0
19732,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Montserrado County,824.0
19733,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Montserrado County,
19734,Newly reported contacts,09/23/2014,Montserrado County,197.0
19735,Total contacts listed,09/23/2014,Montserrado County,7194.0
19736,Currently under follow-up,09/23/2014,Montserrado County,2936.0
19737,Contacts seen,09/23/2014,Montserrado County,2864.0
19738,Contacts who completed 21 day follow-up,09/23/2014,Montserrado County,109.0
19739,Contacts lost to follow-up,09/23/2014,Montserrado County,8.0
19740,New admissions,09/23/2014,Montserrado County,0.0
19741,Total no. currently in Treatment Units,09/23/2014,Montserrado County,394.0
19742,Total discharges,09/23/2014,Montserrado County,8.0
19743,Cumulative admission/isolation,09/23/2014,Montserrado County,394.0
19744,Newly Reported Cases in HCW,09/23/2014,Montserrado County,0.0
19745,Cumulative cases among HCW,09/23/2014,Montserrado County,73.0
19746,Newly Reported deaths in HCW,09/23/2014,Montserrado County,0.0
19747,Cumulative deaths among HCW,09/23/2014,Montserrado County,33.0
19748,New Case/s (Suspected),09/23/2014,Montserrado County,22.0
19749,New Case/s (Probable),09/23/2014,Montserrado County,16.0
19750,New case/s (confirmed),09/23/2014,Montserrado County,0.0
19751,Total suspected cases,09/23/2014,Montserrado County,430.0
19752,Total probable cases,09/23/2014,Montserrado County,538.0
19753,Total confirmed cases,09/23/2014,Montserrado County,352.0
19754,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Montserrado County,0.0
19755,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Montserrado County,1.0
21558,Specimens collected,09/23/2014,National,
21559,Specimens pending for testing,09/23/2014,National,
21560,Total specimens tested,09/23/2014,National,
21561,Newly reported deaths,09/23/2014,National,51.0
21562,Total death/s in confirmed cases,09/23/2014,National,786.0
21563,Total death/s in probable cases,09/23/2014,National,621.0
21564,Total death/s in suspected cases,09/23/2014,National,412.0
21565,"Total death/s in confirmed, probable, suspected cases",09/23/2014,National,1819.0
21566,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,National,
21567,Newly reported contacts,09/23/2014,National,282.0
21568,Total contacts listed,09/23/2014,National,11911.0
21569,Currently under follow-up,09/23/2014,National,6175.0
21570,Contacts seen,09/23/2014,National,4135.0
21571,Contacts who completed 21 day follow-up,09/23/2014,National,229.0
21572,Contacts lost to follow-up,09/23/2014,National,8.0
21573,New admissions,09/23/2014,National,6.0
21574,Total no. currently in Treatment Units,09/23/2014,National,432.0
21575,Total discharges,09/23/2014,National,14.0
21576,Cumulative admission/isolation,09/23/2014,National,436.0
21577,Newly Reported Cases in HCW,09/23/2014,National,0.0
21578,Cumulative cases among HCW,09/23/2014,National,182.0
21579,Newly Reported deaths in HCW,09/23/2014,National,2.0
21580,Cumulative deaths among HCW,09/23/2014,National,89.0
21581,New Case/s (Suspected),09/23/2014,National,48.0
21582,New Case/s (Probable),09/23/2014,National,24.0
21583,New case/s (confirmed),09/23/2014,National,16.0
21584,Total suspected cases,09/23/2014,National,1005.0
21585,Total probable cases,09/23/2014,National,1537.0
21586,Total confirmed cases,09/23/2014,National,908.0
21587,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,National,13.0
21588,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,National,4.0
23391,Specimens collected,09/23/2014,Nimba County,
23392,Specimens pending for testing,09/23/2014,Nimba County,
23393,Total specimens tested,09/23/2014,Nimba County,
23394,Newly reported deaths,09/23/2014,Nimba County,2.0
23395,Total death/s in confirmed cases,09/23/2014,Nimba County,49.0
23396,Total death/s in probable cases,09/23/2014,Nimba County,64.0
23397,Total death/s in suspected cases,09/23/2014,Nimba County,13.0
23398,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Nimba County,126.0
23399,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Nimba County,
23400,Newly reported contacts,09/23/2014,Nimba County,0.0
23401,Total contacts listed,09/23/2014,Nimba County,651.0
23402,Currently under follow-up,09/23/2014,Nimba County,351.0
23403,Contacts seen,09/23/2014,Nimba County,351.0
23404,Contacts who completed 21 day follow-up,09/23/2014,Nimba County,0.0
23405,Contacts lost to follow-up,09/23/2014,Nimba County,0.0
23406,New admissions,09/23/2014,Nimba County,0.0
23407,Total no. currently in Treatment Units,09/23/2014,Nimba County,0.0
23408,Total discharges,09/23/2014,Nimba County,0.0
23409,Cumulative admission/isolation,09/23/2014,Nimba County,0.0
23410,Newly Reported Cases in HCW,09/23/2014,Nimba County,0.0
23411,Cumulative cases among HCW,09/23/2014,Nimba County,8.0
23412,Newly Reported deaths in HCW,09/23/2014,Nimba County,2.0
23413,Cumulative deaths among HCW,09/23/2014,Nimba County,6.0
23414,New Case/s (Suspected),09/23/2014,Nimba County,0.0
23415,New Case/s (Probable),09/23/2014,Nimba County,1.0
23416,New case/s (confirmed),09/23/2014,Nimba County,0.0
23417,Total suspected cases,09/23/2014,Nimba County,31.0
23418,Total probable cases,09/23/2014,Nimba County,116.0
23419,Total confirmed cases,09/23/2014,Nimba County,77.0
23420,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Nimba County,0.0
23421,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Nimba County,0.0
25224,Specimens collected,09/23/2014,River Gee County,
25225,Specimens pending for testing,09/23/2014,River Gee County,
25226,Total specimens tested,09/23/2014,River Gee County,
25227,Newly reported deaths,09/23/2014,River Gee County,0.0
25228,Total death/s in confirmed cases,09/23/2014,River Gee County,0.0
25229,Total death/s in probable cases,09/23/2014,River Gee County,0.0
25230,Total death/s in suspected cases,09/23/2014,River Gee County,6.0
25231,"Total death/s in confirmed, probable, suspected cases",09/23/2014,River Gee County,6.0
25232,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,River Gee County,
25233,Newly reported contacts,09/23/2014,River Gee County,0.0
25234,Total contacts listed,09/23/2014,River Gee County,19.0
25235,Currently under follow-up,09/23/2014,River Gee County,4.0
25236,Contacts seen,09/23/2014,River Gee County,0.0
25237,Contacts who completed 21 day follow-up,09/23/2014,River Gee County,0.0
25238,Contacts lost to follow-up,09/23/2014,River Gee County,0.0
25239,New admissions,09/23/2014,River Gee County,0.0
25240,Total no. currently in Treatment Units,09/23/2014,River Gee County,0.0
25241,Total discharges,09/23/2014,River Gee County,0.0
25242,Cumulative admission/isolation,09/23/2014,River Gee County,0.0
25243,Newly Reported Cases in HCW,09/23/2014,River Gee County,0.0
25244,Cumulative cases among HCW,09/23/2014,River Gee County,0.0
25245,Newly Reported deaths in HCW,09/23/2014,River Gee County,0.0
25246,Cumulative deaths among HCW,09/23/2014,River Gee County,0.0
25247,New Case/s (Suspected),09/23/2014,River Gee County,0.0
25248,New Case/s (Probable),09/23/2014,River Gee County,0.0
25249,New case/s (confirmed),09/23/2014,River Gee County,0.0
25250,Total suspected cases,09/23/2014,River Gee County,9.0
25251,Total probable cases,09/23/2014,River Gee County,3.0
25252,Total confirmed cases,09/23/2014,River Gee County,0.0
