Variable,Date,Bomi County,,Grand Gedeh,Grand Bassa,Bong County,Grand Kru,Montserrado County,Gbarpolu County,National,Nimba County,Sinoe County,River Gee County,Lofa County,Maryland County,Grand Cape Mount,RiverCess County,Margibi County
New case/s (confirmed),6/16/2014,,,,,,,0,,1,,,,1,,,,
Total suspected cases,6/16/2014,,,,,,,0,,4,,,,4,,,,
Total probable cases,6/16/2014,,,,,,,4,,6,,,,2,,,,
Total confirmed cases,6/16/2014,,,,,,,4,,12,,,,8,,,,
Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,,,,,,,0,,1,,,,1,,,,
Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,,,,,,,,,0,,,,,,,,
Specimens collected,6/17/2014,,,,,,,0,,2,,,,2,,,,
Specimens pending for testing,6/17/2014,,,,,,,0,,7,,,,7,,,,
Total specimens tested,6/17/2014,,,,,,,7,,34,,,,27,,,,
Newly reported deaths,6/17/2014,,,,,,,0,,0,,,,0,,,,
Total death/s in confirmed cases,6/17/2014,,,,,,,4,,8,,,,4,,,,
Total death/s in probable cases,6/17/2014,,,,,,,4,,6,,,,2,,,,
Total death/s in suspected cases,6/17/2014,,,,,,,0,,2,,,,2,,,,
"Total death/s in confirmed, probable, suspected cases",6/17/2014,,,,,,,8,,16,,,,8,,,,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/17/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,6/17/2014,,,,,,,0,,0,,,,0,,,,
Total contacts listed,6/17/2014,,,,,,,13,,108,,,,95,,,,
Currently under follow-up,6/17/2014,,,,,,,0,,95,,,,95,,,,
Contacts seen,6/17/2014,,,,,,,0,,90,,,,90,,,,
Contacts who completed 21 day follow-up,6/17/2014,,,,,,,0,,11,,,,11,,,,
Contacts lost to follow-up,6/17/2014,,,,,,,0,,0,,,,0,,,,
New admissions,6/17/2014,,,,,,,0,,2,,,,2,,,,
Total no. currently in Treatment Units,6/17/2014,,,,,,,0,,10,,,,10,,,,
Total discharges,6/17/2014,,,,,,,0,,0,,,,0,,,,
Cumulative admission/isolation,6/17/2014,,,,,,,0,,10,,,,10,,,,
Newly Reported Cases in HCW,6/17/2014,,,,,,,,,0,,,,,,,,
Cumulative cases among HCW,6/17/2014,,,,,,,1,,1,,,,0,,,,
Newly Reported deaths in HCW,6/17/2014,,,,,,,0,,0,,,,0,,,,
Cumulative deaths among HCW,6/17/2014,,,,,,,1,,1,,,,0,,,,
New Case/s (Suspected),6/17/2014,,,,,,,0,,2,,,,2,,,,
New Case/s (Probable),6/17/2014,,,,,,,0,,0,,,,0,,,,
New case/s (confirmed),6/17/2014,,,,,,,0,,0,,,,0,,,,
Total suspected cases,6/17/2014,,,,,,,0,,8,,,,8,,,,
Total probable cases,6/17/2014,,,,,,,5,,6,,,,2,,,,
Total confirmed cases,6/17/2014,,,,,,,5,,12,,,,8,,,,
Total Number of Confirmed Cases of Sierra Leonean Nationality,6/17/2014,,,,,,,0,,1,,,,1,,,,
Total Number of Confirmed Cases of Guinean Nationality,6/17/2014,,,,,,,,,0,,,,,,,,
Specimens collected,6/22/2014,,,,,,,0,,4,,,,4,,,,
Specimens pending for testing,6/22/2014,,,,,,,0,,8,,,,8,,,,
Total specimens tested,6/22/2014,,,,,,,9,,49,,,,40,,,,
Newly reported deaths,6/22/2014,,,,,,,2,,4,,,,2,,,,
Total death/s in confirmed cases,6/22/2014,,,,,,,7,,16,,,,9,,,,
Total death/s in probable cases,6/22/2014,,,,,,,4,,8,,,,4,,,,
Total death/s in suspected cases,6/22/2014,,,,,,,0,,1,,,,1,,,,
"Total death/s in confirmed, probable, suspected cases",6/22/2014,,,,,,,11,,25,,,,14,,,,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/22/2014,,,,,,,11,,25,,,,14,,,,
Newly reported contacts,6/22/2014,,,,,,,107,,131,,,,24,,,,
Total contacts listed,6/22/2014,,,,,,,120,,249,,,,129,,,,
Currently under follow-up,6/22/2014,,,,,,,120,,232,,,,112,,,,
Contacts seen,6/22/2014,,,,,,,120,,232,,,,112,,,,
Contacts who completed 21 day follow-up,6/22/2014,,,,,,,0,,17,,,,17,,,,
Contacts lost to follow-up,6/22/2014,,,,,,,0,,0,,,,0,,,,
New admissions,6/22/2014,,,,,,,0,,5,,,,5,,,,
Total no. currently in Treatment Units,6/22/2014,,,,,,,0,,15,,,,15,,,,
Total discharges,6/22/2014,,,,,,,0,,0,,,,0,,,,
Cumulative admission/isolation,6/22/2014,,,,,,,0,,15,,,,15,,,,
Newly Reported Cases in HCW,6/22/2014,,,,,,,2,,4,,,,2,,,,
Cumulative cases among HCW,6/22/2014,,,,,,,1,,1,,,,0,,,,
Newly Reported deaths in HCW,6/22/2014,,,,,,,0,,0,,,,0,,,,
Cumulative deaths among HCW,6/22/2014,,,,,,,1,,1,,,,0,,,,
New Case/s (Suspected),6/22/2014,,,,,,,0,,5,,,,5,,,,
New Case/s (Probable),6/22/2014,,,,,,,0,,0,,,,0,,,,
New case/s (confirmed),6/22/2014,,,,,,,2,,5,,,,3,,,,
Total suspected cases,6/22/2014,,,,,,,0,,6,,,,6,,,,
Total probable cases,6/22/2014,,,,,,,4,,8,,,,4,,,,
Total confirmed cases,6/22/2014,,,,,,,7,,28,,,,21,,,,
Total Number of Confirmed Cases of Sierra Leonean Nationality,6/22/2014,,,,,,,0,,4,,,,4,,,,
Total Number of Confirmed Cases of Guinean Nationality,6/22/2014,,,,,,,,,0,,,,,,,,
Specimens collected,6/24/2014,,,,,,,,,4,,,,2,,,,
Specimens pending for testing,6/24/2014,,,,,,,,,22,,,,15,,,,
Total specimens tested,6/24/2014,,,,,,,,,63,,,,47,,,,
Newly reported deaths,6/24/2014,,,,,,,2,,4,,,,2,,,,
Total death/s in confirmed cases,6/24/2014,,,,,,,9,,18,,,,9,,,,
Total death/s in probable cases,6/24/2014,,,,,,,4,,8,,,,4,,,,
Total death/s in suspected cases,6/24/2014,,,,,,,2,,6,,,,4,,,,
"Total death/s in confirmed, probable, suspected cases",6/24/2014,,,,,,,15,,32,,,,17,,,,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/24/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,6/24/2014,,,,,,,6,,6,,,,0,,,,
Total contacts listed,6/24/2014,,,,,,,127,,256,,,,129,,,,
Currently under follow-up,6/24/2014,,,,,,,112,,224,,,,112,,,,
Contacts seen,6/24/2014,,,,,,,112,,224,,,,112,,,,
Contacts who completed 21 day follow-up,6/24/2014,,,,,,,0,,17,,,,17,,,,
Contacts lost to follow-up,6/24/2014,,,,,,,15,,15,,,,0,,,,
New admissions,6/24/2014,,,,,,,0,,0,,,,0,,,,
Total no. currently in Treatment Units,6/24/2014,,,,,,,5,,25,,,,20,,,,
Total discharges,6/24/2014,,,,,,,0,,0,,,,0,,,,
Cumulative admission/isolation,6/24/2014,,,,,,,0,,25,,,,20,,,,
Newly Reported Cases in HCW,6/24/2014,,,,,,,5,,0,,,,0,,,,
Cumulative cases among HCW,6/24/2014,,,,,,,2,,2,,,,0,,,,
Newly Reported deaths in HCW,6/24/2014,,,,,,,0,,0,,,,0,,,,
Cumulative deaths among HCW,6/24/2014,,,,,,,2,,2,,,,0,,,,
New Case/s (Suspected),6/24/2014,,,,,,,0,,2,,,,2,,,,
New Case/s (Probable),6/24/2014,,,,,,,0,,0,,,,0,,,,
New case/s (confirmed),6/24/2014,,,,,,,4,,4,,,,0,,,,
Total suspected cases,6/24/2014,,,,,,,0,,13,,,,13,,,,
Total probable cases,6/24/2014,,,,,,,4,,8,,,,4,,,,
Total confirmed cases,6/24/2014,,,,,,,12,,33,,,,21,,,,
Total Number of Confirmed Cases of Sierra Leonean Nationality,6/24/2014,,,,,,,0,,4,,,,4,,,,
Total Number of Confirmed Cases of Guinean Nationality,6/24/2014,,,,,,,,,0,,,,,,,,
Specimens collected,6/25/14,,,,,,,2,,6,,,,4,,,,0
Specimens pending for testing,6/25/14,,,,,,,2,,19,,,,17,,,,0
Total specimens tested,6/25/14,,,,,,,0,,4,,,,4,,,,0
Newly reported deaths,6/25/14,,,,,,,1,,3,,,,2,,,,0
Total death/s in confirmed cases,6/25/14,,,,,,,10,,20,,,,10,,,,0
Total death/s in probable cases,6/25/14,,,,,,,4,,8,,,,4,,,,0
Total death/s in suspected cases,6/25/14,,,,,,,4,,9,,,,5,,,,0
"Total death/s in confirmed, probable, suspected cases",6/25/14,,,,,,,18,,37,,,,19,0,,,0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/25/14,,,,,,,,,,,,,,,,,
Newly reported contacts,6/25/14,,,,,,,12,,12,,,,0,,,,0
Total contacts listed,6/25/14,,,,,,,139,,268,,,,129,,,,0
Currently under follow-up,6/25/14,,,,,,,124,,236,,,,112,,,,0
Contacts seen,6/25/14,,,,,,,112,,112,,,,0,,,,0
Contacts who completed 21 day follow-up,6/25/14,,,,,,,0,,17,,,,17,,,,0
Contacts lost to follow-up,6/25/14,,,,,,,15,,15,,,,0,,,,0
New admissions,6/25/14,,,,,,,0,,2,,,,2,,,,0
Total no. currently in Treatment Units,6/25/14,,,,,,,5,,25,,,,20,,,,0
Total discharges,6/25/14,,,,,,,0,,0,,,,0,,,,0
Cumulative admission/isolation,6/25/14,,,,,,,5,,25,,,,20,,,,0
Newly Reported Cases in HCW,6/25/14,,,,,,,1,,2,,,,1,,,,0
Cumulative cases among HCW,6/25/14,,,,,,,3,,4,,,,1,,,,0
Newly Reported deaths in HCW,6/25/14,,,,,,,1,,1,,,,0,,,,0
Cumulative deaths among HCW,6/25/14,,,,,,,3,,3,,,,0,,,,0
New Case/s (Suspected),6/25/14,,,,,,,0,,4,,,,4,,,,0
New Case/s (Probable),6/25/14,,,,,,,0,,1,,,,0,,,,1
New case/s (confirmed),6/25/14,,,,,,,1,,2,,,,0,,,,1
Total suspected cases,6/25/14,,,,,,,0,,17,,,,17,,,,0
Total probable cases,6/25/14,,,,,,,4,,9,,,,4,,,,1
Total confirmed cases,6/25/14,,,,,,,13,,35,,,,21,,,,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,6/25/14,,,,,,,0,,4,,,,4,,,,0
Total Number of Confirmed Cases of Guinean Nationality,6/25/14,,,,,,,0,,0,,,,0,,,,0
Specimens collected,6/28/2014,0,,,,0,0,3,,3,0,0,0,0,0,,0,0
Specimens pending for testing,6/28/2014,0,,,,0,0,0,,8,0,0,0,8,0,,0,0
Total specimens tested,6/28/2014,0,,,,0,0,3,,3,0,0,0,0,0,,0,0
Newly reported deaths,6/28/2014,0,,,,0,0,0,,1,0,0,0,1,0,,0,0
Total death/s in confirmed cases,6/28/2014,0,,,,0,0,11,,26,0,0,0,13,0,,0,2
Total death/s in probable cases,6/28/2014,0,,,,0,0,5,,10,0,0,0,5,0,,0,0
Total death/s in suspected cases,6/28/2014,0,,,,0,0,4,,13,0,0,0,9,0,,0,0
"Total death/s in confirmed, probable, suspected cases",6/28/2014,0,,,,0,0,20,,49,0,0,0,27,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/28/2014,,,,,,,,,61,,,,,,,,
Newly reported contacts,6/28/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total contacts listed,6/28/2014,0,,,,0,0,141,,441,0,0,0,272,0,,0,28
Currently under follow-up,6/28/2014,0,,,,0,0,141,,419,0,0,0,272,0,,0,6
Contacts seen,6/28/2014,0,,,,0,0,129,,407,0,0,0,272,0,,0,6
Contacts who completed 21 day follow-up,6/28/2014,0,,,,0,0,5,,22,0,0,0,17,0,,0,0
Contacts lost to follow-up,6/28/2014,0,,,,0,0,15,,15,0,0,0,0,0,,0,0
New admissions,6/28/2014,0,,,,0,0,3,,5,0,0,0,2,0,,0,0
Total no. currently in Treatment Units,6/28/2014,0,,,,0,0,6,,25,0,0,0,19,0,,0,0
Total discharges,6/28/2014,0,,,,0,0,1,,3,0,0,0,2,0,,0,0
Cumulative admission/isolation,6/28/2014,0,,,,0,0,6,,25,0,0,0,19,0,,0,0
Newly Reported Cases in HCW,6/28/2014,0,,,,0,0,1,,1,0,0,,0,0,,0,0
Cumulative cases among HCW,6/28/2014,0,,,,0,0,4,,9,0,0,,5,0,,0,0
Newly Reported deaths in HCW,6/28/2014,0,,,,0,0,0,,0,0,0,,0,0,,0,0
Cumulative deaths among HCW,6/28/2014,0,,,,0,0,3,,5,0,0,,2,0,,0,0
New Case/s (Suspected),6/28/2014,0,,,,0,0,0,,2,0,0,0,2,0,,0,0
New Case/s (Probable),6/28/2014,0,,,,0,0,3,,6,0,0,0,3,0,,0,0
New case/s (confirmed),6/28/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Total suspected cases,6/28/2014,0,,,,0,0,2,,29,0,0,0,27,0,,0,0
Total probable cases,6/28/2014,0,,,,0,0,8,,18,0,0,0,8,0,,0,2
Total confirmed cases,6/28/2014,0,,,,0,0,14,,41,0,0,0,26,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,6/28/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,6/28/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,6/29/2014,0,,,,0,0,4,,4,0,0,0,0,0,,0,0
Specimens pending for testing,6/29/2014,0,,,,0,0,0,,8,0,0,0,8,0,,0,0
Total specimens tested,6/29/2014,0,,,,0,0,4,,4,0,0,0,0,0,,0,0
Newly reported deaths,6/29/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total death/s in confirmed cases,6/29/2014,0,,,,0,0,11,,26,0,0,0,13,0,,0,2
Total death/s in probable cases,6/29/2014,0,,,,0,0,5,,10,0,0,0,5,0,,0,0
Total death/s in suspected cases,6/29/2014,0,,,,0,0,4,,13,0,0,0,9,0,,0,0
"Total death/s in confirmed, probable, suspected cases",6/29/2014,0,,,,0,0,20,,49,0,0,0,27,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/29/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,6/29/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total contacts listed,6/29/2014,0,,,,0,0,141,,441,0,0,0,272,0,,0,28
Currently under follow-up,6/29/2014,0,,,,0,0,141,,419,0,0,0,272,0,,0,6
Contacts seen,6/29/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Contacts who completed 21 day follow-up,6/29/2014,0,,,,0,0,5,,22,0,0,0,17,0,,0,0
Contacts lost to follow-up,6/29/2014,0,,,,0,0,15,,15,0,0,0,0,0,,0,0
New admissions,6/29/2014,0,,,,0,0,3,,3,0,0,0,0,0,,0,0
Total no. currently in Treatment Units,6/29/2014,0,,,,0,0,6,,25,0,0,0,19,0,,0,0
Total discharges,6/29/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Cumulative admission/isolation,6/29/2014,0,,,,0,0,6,,25,0,0,0,19,0,,0,0
Newly Reported Cases in HCW,6/29/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Cumulative cases among HCW,6/29/2014,0,,,,0,0,4,,9,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,6/29/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,6/29/2014,0,,,,0,0,3,,5,0,0,0,2,0,,0,0
New Case/s (Suspected),6/29/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New Case/s (Probable),6/29/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New case/s (confirmed),6/29/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
Total suspected cases,6/29/2014,0,,,,0,0,2,,29,0,0,0,27,0,,0,0
Total probable cases,6/29/2014,0,,,,0,0,8,,18,0,0,0,8,0,,0,2
Total confirmed cases,6/29/2014,0,,,,0,0,16,,43,0,0,0,26,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,6/29/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,6/29/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/1/2014,0,,,,0,0,0,,3,0,0,0,3,0,,0,0
Specimens pending for testing,7/1/2014,0,,,,0,0,0,,3,0,0,0,3,0,,0,0
Total specimens tested,7/1/2014,0,,,,0,0,4,,4,0,0,0,0,0,,0,0
Newly reported deaths,7/1/2014,0,,,,0,0,4,,5,0,0,0,1,0,,0,0
Total death/s in confirmed cases,7/1/2014,0,,,,0,0,13,,30,0,0,0,15,0,,0,2
Total death/s in probable cases,7/1/2014,0,,,,0,0,10,,17,0,0,0,7,0,,0,0
Total death/s in suspected cases,7/1/2014,0,,,,0,0,4,,14,0,0,0,10,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/1/2014,0,,,,0,0,27,,61,0,0,0,32,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/1/2014,0,,,,0,0,79.3,,70.1,0,0,0,62.9,0,,0,66.7
Newly reported contacts,7/1/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total contacts listed,7/1/2014,0,,,,0,0,158,,445,0,0,0,259,0,,0,28
Currently under follow-up,7/1/2014,0,,,,0,0,158,,445,0,0,0,259,0,,0,28
Contacts seen,7/1/2014,0,,,,0,0,158,,422,0,0,0,259,0,,0,5
Contacts who completed 21 day follow-up,7/1/2014,0,,,,0,0,0,,17,0,0,0,17,0,,0,0
Contacts lost to follow-up,7/1/2014,0,,,,0,0,15,,15,0,0,0,0,0,,0,0
New admissions,7/1/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total no. currently in Treatment Units,7/1/2014,0,,,,0,0,4,,19,0,0,0,15,0,,0,0
Total discharges,7/1/2014,0,,,,0,0,0,,3,0,0,0,3,0,,0,0
Cumulative admission/isolation,7/1/2014,0,,,,0,0,4,,19,0,0,0,15,0,,0,0
Newly Reported Cases in HCW,7/1/2014,0,,,,0,0,0,,0,0,0,,0,0,,0,0
Cumulative cases among HCW,7/1/2014,0,,,,0,0,5,,10,0,0,,5,0,,0,0
Newly Reported deaths in HCW,7/1/2014,0,,,,0,0,1,,1,0,0,,0,0,,0,0
Cumulative deaths among HCW,7/1/2014,0,,,,0,0,5,,8,0,0,,3,0,,0,0
New Case/s (Suspected),7/1/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
New Case/s (Probable),7/1/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New case/s (confirmed),7/1/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
Total suspected cases,7/1/2014,0,,,,0,0,4,,33,0,0,0,29,0,,0,0
Total probable cases,7/1/2014,0,,,,0,0,9,,19,0,0,0,8,0,,0,2
Total confirmed cases,7/1/2014,0,,,,0,0,20,,48,0,0,0,27,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/1/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/1/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/2/2014,0,,,,0,0,1,,4,0,0,0,3,0,,0,0
Specimens pending for testing,7/2/2014,0,,,,0,0,1,,7,0,0,0,6,0,,0,0
Total specimens tested,7/2/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Newly reported deaths,7/2/2014,0,,,,0,0,2,,5,0,0,0,3,0,,0,0
Total death/s in confirmed cases,7/2/2014,0,,,,0,0,13,,32,0,0,0,17,0,,0,2
Total death/s in probable cases,7/2/2014,0,,,,0,0,12,,20,0,0,0,8,0,,0,0
Total death/s in suspected cases,7/2/2014,0,,,,0,0,4,,14,0,0,0,10,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/2/2014,0,,,,0,0,29,,66,0,0,0,35,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/2/2014,0,,,,0,0,86.2,,74.3,0,0,0,65.8,0,,0,66.7
Newly reported contacts,7/2/2014,0,,,,0,0,26,,36,0,0,0,10,0,,0,0
Total contacts listed,7/2/2014,0,,,,0,0,176,,463,0,0,0,259,0,,0,28
Currently under follow-up,7/2/2014,0,,,,0,0,176,,463,0,0,0,259,0,,0,28
Contacts seen,7/2/2014,0,,,,0,0,158,,423,0,0,0,259,0,,0,6
Contacts who completed 21 day follow-up,7/2/2014,0,,,,0,0,40,,40,0,0,0,0,0,,0,0
Contacts lost to follow-up,7/2/2014,0,,,,0,0,15,,15,0,0,0,0,0,,0,0
New admissions,7/2/2014,0,,,,0,0,1,,2,0,0,0,1,0,,0,0
Total no. currently in Treatment Units,7/2/2014,0,,,,0,0,5,,18,0,0,0,13,0,,0,0
Total discharges,7/2/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative admission/isolation,7/2/2014,0,,,,0,0,5,,18,0,0,0,13,0,,0,0
Newly Reported Cases in HCW,7/2/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative cases among HCW,7/2/2014,0,,,,0,0,5,,10,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,7/2/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,7/2/2014,0,,,,0,0,5,,8,0,0,0,3,0,,0,0
New Case/s (Suspected),7/2/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
New Case/s (Probable),7/2/2014,0,,,,0,0,0,,3,0,0,0,3,0,,0,0
New case/s (confirmed),7/2/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total suspected cases,7/2/2014,0,,,,0,0,5,,34,0,0,0,29,0,,0,0
Total probable cases,7/2/2014,0,,,,0,0,9,,22,0,0,0,11,0,,0,2
Total confirmed cases,7/2/2014,0,,,,0,0,20,,48,0,0,0,27,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/2/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/2/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/3/2014,0,,,,0,0,4,,4,0,0,0,0,0,,0,0
Specimens pending for testing,7/3/2014,0,,,,0,0,4,,10,0,0,0,6,0,,0,0
Total specimens tested,7/3/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
Newly reported deaths,7/3/2014,0,,,,0,0,4,,4,0,0,0,0,0,,0,0
Total death/s in confirmed cases,7/3/2014,0,,,,0,0,14,,33,0,0,0,17,0,,0,2
Total death/s in probable cases,7/3/2014,0,,,,0,0,14,,22,0,0,0,8,0,,0,0
Total death/s in suspected cases,7/3/2014,0,,,,0,0,5,,15,0,0,0,10,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/3/2014,0,,,,0,0,33,,70,0,0,0,35,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/3/2014,0,,,,0,0,87.5,,75.3,0,0,,65.8,0,,0,66.7
Newly reported contacts,7/3/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total contacts listed,7/3/2014,0,,,,0,0,176,,463,0,0,0,259,0,,0,28
Currently under follow-up,7/3/2014,0,,,,0,0,176,,463,0,0,0,259,0,,0,28
Contacts seen,7/3/2014,0,,,,0,0,158,,423,0,0,0,259,0,,0,6
Contacts who completed 21 day follow-up,7/3/2014,0,,,,0,0,40,,45,0,0,0,0,0,,0,0
Contacts lost to follow-up,7/3/2014,0,,,,0,0,15,,14,0,0,0,0,0,,0,0
New admissions,7/3/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Total no. currently in Treatment Units,7/3/2014,0,,,,0,0,5,,18,0,0,0,13,0,,0,0
Total discharges,7/3/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative admission/isolation,7/3/2014,0,,,,0,0,5,,18,0,0,0,13,0,,0,0
Newly Reported Cases in HCW,7/3/2014,0,,,,0,0,0,,0,0,0,,0,0,,0,0
Cumulative cases among HCW,7/3/2014,0,,,,0,0,5,,10,0,0,,5,0,,0,0
Newly Reported deaths in HCW,7/3/2014,0,,,,0,0,1,,1,0,0,,0,0,,0,0
Cumulative deaths among HCW,7/3/2014,0,,,,0,0,6,,9,0,0,,3,0,,0,0
New Case/s (Suspected),7/3/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
New Case/s (Probable),7/3/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
New case/s (confirmed),7/3/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Total suspected cases,7/3/2014,0,,,,0,0,6,,35,0,0,0,29,0,,0,0
Total probable cases,7/3/2014,0,,,,0,0,11,,24,0,0,0,11,0,,0,2
Total confirmed cases,7/3/2014,0,,,,0,0,21,,49,0,0,0,27,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/3/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/3/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/7/2014,0,,,,0,0,2,,5,0,0,0,3,0,,0,0
Specimens pending for testing,7/7/2014,0,,,,0,0,2,,5,0,0,0,3,0,,0,0
Total specimens tested,7/7/2014,0,,,,0,0,0,,8,0,0,0,8,0,,0,0
Newly reported deaths,7/7/2014,0,,,,0,0,1,,2,0,0,0,1,0,,0,0
Total death/s in confirmed cases,7/7/2014,0,,,,0,0,15,,37,0,0,0,20,0,,0,2
Total death/s in probable cases,7/7/2014,0,,,,0,0,15,,26,0,0,0,11,0,,0,0
